1161.SH.SD.Endo.1	1161.SH.SD.Soil.2	1161.SH.PU.Soil.1	1161.SH.PU.Endo.1	1161.SH.PU.Epi.1	1161.SH.PU.Soil.2	1161.SH.PU.Epi.3	1161.SH.GA.Endo.1	1161.SH.GA.Epi.1	1161.SH.SD.Soil.4	1161.SH.GA.Epi.2	1161.SH.PU.Epi.2	1161.SH.PU.Endo.3	1161.SH.PU.Soil.4	1161.SH.PU.Endo.2	1161.SH.GA.Soil.1	1161.SH.GA.Soil.2	1161.SH.GA.Soil.4	1161.SH.SD.Epi.1	1161.SH.SD.Soil.1	1161.SH.GA.Endo.2	1161.SH.PU.Soil.3	1161.SH.SD.Soil.3	1161.SH.SD.Endo.2	1161.SH.PU.Endo.4	1161.SH.GA.Epi.3	1161.SH.SD.Endo.3	1161.SH.SD.Epi.4	1161.SH.SD.Epi.2	1161.SH.GA.Endo.4	1161.SH.GA.Soil.3	1161.SH.GA.Endo.3	1161.SH.SD.Epi.3	1161.SH.GA.Epi.4	1161.SH.PU.Epi.4	1161.SH.SD.Endo.4
1161.SH.SD.Endo.1	0.0	0.250073450074	0.413465551107	0.525452642519	0.365329366571	0.407022396569	0.373450212849	0.485323595839	0.370284132659	0.270588010768	0.378930891811	0.373556934757	0.542289912993	0.427914047538	0.570244879354	0.376800021421	0.392716745329	0.459551726614	0.242562082188	0.235421697557	0.516632350059	0.42003339511	0.311606941385	0.447208326297	0.610572558475	0.415992179721	0.261796897948	0.263893350128	0.249093987399	0.423858011372	0.465334416529	0.428269743662	0.273443462805	0.428639910795	0.484889737426	0.392712358275
1161.SH.SD.Soil.2	0.250073450074	0.0	0.315305687343	0.624023197855	0.353870135703	0.301333269522	0.359036785996	0.557306560065	0.362072113936	0.128531294493	0.379555748645	0.354913855	0.651524234555	0.313847164231	0.673757642626	0.263075157379	0.278095830654	0.348020591585	0.26951078788	0.103653904814	0.618561207493	0.31555040119	0.157639389965	0.56157539904	0.69177688114	0.3993249976	0.346262615983	0.253065097198	0.239557005777	0.476281438225	0.352336269479	0.510975767493	0.252309426814	0.412392787871	0.501100530632	0.455523796736
1161.SH.PU.Soil.1	0.413465551107	0.315305687343	0.0	0.628981570708	0.280085820323	0.121913953938	0.318792803451	0.590074926453	0.351579556597	0.344915111063	0.40975087308	0.306814978475	0.669968280564	0.15703115884	0.68679540891	0.195952035524	0.208714991087	0.300600231428	0.405835652939	0.312564444298	0.644821637328	0.157162648341	0.366113247216	0.638981753372	0.709574109638	0.422489903256	0.492517224116	0.415940057666	0.399038127284	0.50984716879	0.27769213953	0.552501828576	0.407759637848	0.450807317571	0.511796792013	0.580153050739
1161.SH.PU.Endo.1	0.525452642519	0.624023197855	0.628981570708	0.0	0.510103659631	0.6307664584	0.534460341501	0.364684515056	0.533953756511	0.635929926759	0.533674296476	0.531881543943	0.360702260558	0.658148439651	0.376701905521	0.636548901483	0.655822438726	0.691887347574	0.53295147456	0.623009442141	0.408910683435	0.636669699655	0.669551242756	0.45860079469	0.475997323681	0.54726898099	0.509198932783	0.569147059346	0.535839143727	0.434760996893	0.674241513228	0.442716345385	0.564047706887	0.561677680961	0.546196053287	0.577788883078
1161.SH.PU.Epi.1	0.365329366571	0.353870135703	0.280085820323	0.510103659631	0.0	0.297611494614	0.225204587871	0.473030953495	0.219590741891	0.388726112224	0.282174077429	0.21000519977	0.577761996404	0.318986141883	0.590480539068	0.284447408932	0.311950987705	0.379654680508	0.319469611525	0.341864745839	0.52281369659	0.31235142288	0.425320641232	0.567274755788	0.639995262439	0.341690294078	0.436790485995	0.388607367873	0.323854832919	0.396648167898	0.393481828728	0.467551972524	0.373844786915	0.395720661309	0.462270995218	0.546066470544
1161.SH.PU.Soil.2	0.407022396569	0.301333269522	0.121913953938	0.6307664584	0.297611494614	0.0	0.307825238699	0.579991988512	0.356470432841	0.323571627324	0.404460643435	0.293112258621	0.666027905406	0.126843035378	0.675099760782	0.199543809634	0.205752233271	0.266618999736	0.387806402554	0.306549392576	0.650257874075	0.119116849458	0.345307031238	0.619618673406	0.700103488196	0.405655801246	0.471030961311	0.388383019627	0.377961094702	0.505164654551	0.239959606697	0.547934834151	0.381211828632	0.437098209995	0.499198084354	0.55783372008
1161.SH.PU.Epi.3	0.373450212849	0.359036785996	0.318792803451	0.534460341501	0.225204587871	0.307825238699	0.0	0.479493718988	0.264717700174	0.382045591631	0.274800742041	0.187344929661	0.577067568417	0.303024925759	0.570801358632	0.327806085368	0.332645832924	0.353348790795	0.30318991881	0.35862697686	0.549628435843	0.29593258771	0.410456355453	0.552513382065	0.611782263063	0.272581325557	0.425510281724	0.350578786708	0.30992199457	0.386240125976	0.361283242272	0.438085336196	0.32630399052	0.33248232616	0.369679055343	0.52577128137
1161.SH.GA.Endo.1	0.485323595839	0.557306560065	0.590074926453	0.364684515056	0.473030953495	0.579991988512	0.479493718988	0.0	0.429310899361	0.58198359337	0.42997733815	0.477999063026	0.399861623137	0.611635005654	0.42793244797	0.560561359703	0.576769466515	0.616355860559	0.467212744835	0.565611077632	0.379157142772	0.598092484567	0.61047361428	0.454265063279	0.507548481397	0.465708480841	0.464381052956	0.516031893859	0.463341278046	0.31823535524	0.607980930606	0.377967602232	0.493662999138	0.484536359616	0.523986115322	0.574379387915
1161.SH.GA.Epi.1	0.370284132659	0.362072113936	0.351579556597	0.533953756511	0.219590741891	0.356470432841	0.264717700174	0.429310899361	0.0	0.406225098397	0.19243443552	0.259302348667	0.589118780195	0.374803233963	0.59657632246	0.276130265363	0.306850788391	0.394043037704	0.307010876429	0.360622372435	0.496011010039	0.37901230764	0.4423912411	0.554083038172	0.636807385082	0.271982122632	0.444239003294	0.383155448357	0.305698328259	0.358477001278	0.395263204261	0.407413259077	0.357308636869	0.333739515999	0.459038566435	0.561948571586
1161.SH.SD.Soil.4	0.270588010768	0.128531294493	0.344915111063	0.635929926759	0.388726112224	0.323571627324	0.382045591631	0.58198359337	0.406225098397	0.0	0.401780522803	0.385412143224	0.67075068079	0.326308509792	0.69176681409	0.308452931819	0.300454291226	0.341001467347	0.291216433051	0.133034764101	0.639030698939	0.333120375539	0.139170674446	0.565442528181	0.693022432409	0.425606763598	0.347100166615	0.233301754012	0.254640456669	0.489744944114	0.364279810548	0.539008647435	0.251749800602	0.417276929754	0.514511954002	0.431998175865
1161.SH.GA.Epi.2	0.378930891811	0.379555748645	0.40975087308	0.533674296476	0.282174077429	0.404460643435	0.274800742041	0.42997733815	0.19243443552	0.401780522803	0.0	0.279529099553	0.583741441656	0.405489337984	0.590287641205	0.344384469313	0.348265775932	0.399301417695	0.302543663081	0.381928458628	0.463905304819	0.411282648321	0.436241814821	0.522028897621	0.617241823667	0.228098388672	0.422636728417	0.345192907572	0.294574752871	0.33595941413	0.415545801273	0.387784105218	0.323599222177	0.264202401698	0.386235903502	0.529408570717
1161.SH.PU.Epi.2	0.373556934757	0.354913855	0.306814978475	0.531881543943	0.21000519977	0.293112258621	0.187344929661	0.477999063026	0.259302348667	0.385412143224	0.279529099553	0.0	0.577795271839	0.311452608953	0.545414568224	0.316314138288	0.328204346263	0.360742462807	0.299848577258	0.353705278901	0.563320956784	0.309669277219	0.41515009206	0.548576205379	0.616887197007	0.307056663414	0.415019199885	0.358667282419	0.301920927614	0.402963172019	0.380060684854	0.458826826203	0.321875785715	0.355220798954	0.393127554395	0.52770348039
1161.SH.PU.Endo.3	0.542289912993	0.651524234555	0.669968280564	0.360702260558	0.577761996404	0.666027905406	0.577067568417	0.399861623137	0.589118780195	0.67075068079	0.583741441656	0.577795271839	0.0	0.692352563963	0.358595691703	0.678635263841	0.689318388746	0.738176333405	0.573904985506	0.650127007238	0.398589148668	0.676962258619	0.693777990503	0.42236592624	0.467621196741	0.594675187767	0.507981221257	0.604288688829	0.575709442727	0.468547677532	0.721893791978	0.453850089786	0.59454255176	0.616453825815	0.568338290696	0.576963897638
1161.SH.PU.Soil.4	0.427914047538	0.313847164231	0.15703115884	0.658148439651	0.318986141883	0.126843035378	0.303024925759	0.611635005654	0.374803233963	0.326308509792	0.405489337984	0.311452608953	0.692352563963	0.0	0.707070703151	0.221314863049	0.196806862752	0.223582051489	0.412517191149	0.318594726987	0.665660384535	0.0979287222341	0.335470306637	0.639545528666	0.702826969506	0.401040497693	0.486248177613	0.394271095419	0.403220826402	0.515121688863	0.214702666631	0.55048476221	0.392083113399	0.416741789329	0.482993362248	0.563803432047
1161.SH.PU.Endo.2	0.570244879354	0.673757642626	0.68679540891	0.376701905521	0.590480539068	0.675099760782	0.570801358632	0.42793244797	0.59657632246	0.69176681409	0.590287641205	0.545414568224	0.358595691703	0.707070703151	0.0	0.697378079465	0.70616081159	0.750335309881	0.561879542635	0.669276641388	0.473117048647	0.690948975363	0.721993920145	0.462928180846	0.429800497552	0.593309146897	0.535910675127	0.60980697872	0.571406803723	0.492805111935	0.73814611492	0.48058710016	0.578477365382	0.626538059275	0.545475571574	0.615673235959
1161.SH.GA.Soil.1	0.376800021421	0.263075157379	0.195952035524	0.636548901483	0.284447408932	0.199543809634	0.327806085368	0.560561359703	0.276130265363	0.308452931819	0.344384469313	0.316314138288	0.678635263841	0.221314863049	0.697378079465	0.0	0.133981159939	0.257873648163	0.371024738132	0.275893475714	0.609047347122	0.22573300197	0.337759041417	0.624884934853	0.716216138358	0.370798375763	0.474089135541	0.380146479588	0.35111862335	0.472692795525	0.262061843109	0.51286425435	0.380255556694	0.396460864395	0.530092227297	0.564399673392
1161.SH.GA.Soil.2	0.392716745329	0.278095830654	0.208714991087	0.655822438726	0.311950987705	0.205752233271	0.332645832924	0.576769466515	0.306850788391	0.300454291226	0.348265775932	0.328204346263	0.689318388746	0.196806862752	0.70616081159	0.133981159939	0.0	0.19280360181	0.38067227718	0.287647707817	0.633392958011	0.21697631995	0.317696675695	0.626236701111	0.707078485639	0.373808197407	0.479267358137	0.376572331999	0.37160705684	0.479527272166	0.223632463914	0.511043152786	0.375939665374	0.378061570967	0.514920060557	0.555982059627
1161.SH.GA.Soil.4	0.459551726614	0.348020591585	0.300600231428	0.691887347574	0.379654680508	0.266618999736	0.353348790795	0.616355860559	0.394043037704	0.341001467347	0.399301417695	0.360742462807	0.738176333405	0.223582051489	0.750335309881	0.257873648163	0.19280360181	0.0	0.439971484672	0.360364302437	0.69183461832	0.247518868963	0.336441847339	0.645524985408	0.723779632843	0.391969551414	0.514361163982	0.398100446363	0.433314539661	0.508324489899	0.20586800139	0.566213241509	0.411126973689	0.370674204673	0.505065591251	0.567819155043
1161.SH.SD.Epi.1	0.242562082188	0.26951078788	0.405835652939	0.53295147456	0.319469611525	0.387806402554	0.30318991881	0.467212744835	0.307010876429	0.291216433051	0.302543663081	0.299848577258	0.573904985506	0.412517191149	0.561879542635	0.371024738132	0.38067227718	0.439971484672	0.0	0.248631846538	0.532802641726	0.410638677118	0.339442375551	0.47748905195	0.622081780426	0.335214537805	0.327763419331	0.206500118303	0.15059031806	0.392710453463	0.462317182927	0.424712675836	0.189027172992	0.3679326977	0.412052282136	0.451399506494
