L0006.SH.GE.Epi.ITS1.3	L0006.SH.GE.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.1	L0006.SH.CAS8.Root.ITS1.3	L0006.SH.GE.Soil.ITS1.2	L0006.SH.GE.Epi.ITS1.2	L0006.SH.PU.Endo.ITS1.3	L0006.SH.PU.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.4	L0006.SH.GE.Soil.ITS1.1	L0006.SH.SD.Endo.ITS1.3	L0006.SH.PU.Soil.ITS1.3	L0006.SH.SD.Soil.ITS1.3	L0006.SH.CAS9.Soil.ITS1.3	L0006.SH.GE.Endo.ITS1.3	L0006.SH.SD.Endo.ITS1.4	L0006.SH.CAS8.Soil.ITS1.1	L0006.SH.SD.Epi.ITS1.2	L0006.SH.SD.Endo.ITS1.1	L0006.SH.GE.Soil.ITS1.4	L0006.SH.CAS9.Soil.ITS1.1	L0006.SH.SD.Soil.ITS1.4	L0006.SH.GE.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.2	L0006.SH.GE.Endo.ITS1.1	L0006.SH.SD.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.1	L0006.SH.CAS9.Root.ITS1.2	L0006.SH.SD.Epi.ITS1.3	L0006.SH.CAS9.Soil.ITS1.2	L0006.SH.GE.Soil.ITS1.3	L0006.SH.PU.Soil.ITS1.4	L0006.SH.CAS8.Soil.ITS1.3	L0006.SH.PU.Epi.ITS1.3	L0006.SH.CAS9.Root.ITS1.1	L0006.SH.PU.Soil.ITS1.1	L0006.SH.GE.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.1	L0006.SH.SD.Epi.ITS1.1	L0006.SH.PU.Soil.ITS1.2	L0006.SH.SD.Endo.ITS1.2	L0006.SH.CAS8.Soil.ITS1.2	L0006.SH.CAS9.Root.ITS1.3	L0006.SH.PU.Epi.ITS1.2	L0006.SH.GE.Epi.ITS1.1	L0006.SH.CAS8.Root.ITS1.2	L0006.SH.CAS8.Root.ITS1.1
L0006.SH.GE.Epi.ITS1.3	0.0	0.36568579647	0.585580662128	0.640065078886	0.872855307677	0.475123438402	0.340893041434	0.682374390139	0.65269782429	0.540584433367	0.505748986622	0.614351199911	0.563599334507	0.617020753522	0.749375171039	0.421833810965	0.647559177129	0.748719880736	0.579291060256	0.657694472637	0.508733755659	0.746586175837	0.632367049485	0.510356202489	0.629617067084	0.624147299456	0.600705104918	0.721485616801	0.864400578425	0.570981602452	0.738674963543	0.462906505147	0.588709019416	0.725267087918	0.525288717744	0.793658184423	0.581974385151	0.601333846707	0.636089340308	0.585459291431	0.545609474156	0.628900071614	0.730800683628	0.8630650522	0.495923240305	0.390090619486	0.867871199857	0.882604391924
L0006.SH.GE.Epi.ITS1.4	0.36568579647	0.0	0.57301236788	0.644645994388	0.855177900203	0.408811073822	0.351811788711	0.655154547831	0.657015151406	0.529761043666	0.438162241688	0.616996189582	0.550873764048	0.602882191481	0.687814143332	0.510739090096	0.649381123944	0.714422257514	0.613107250292	0.663386840445	0.381308646344	0.686400851006	0.633692078919	0.415452374948	0.617757831842	0.624095372516	0.616911798087	0.694249550992	0.840315965424	0.599974122889	0.665738200062	0.458316272286	0.542709447505	0.682322974346	0.54023227167	0.791345999168	0.540881343455	0.591707912413	0.615314271826	0.610393057442	0.51984268845	0.633031384358	0.694545498016	0.850932727678	0.505539921274	0.409372907182	0.866794372473	0.888721151147
L0006.SH.PU.Endo.ITS1.4	0.585580662128	0.57301236788	0.0	0.686336025824	0.840266020053	0.670398505833	0.594161891141	0.445011964528	0.420735990733	0.376137052701	0.687941567781	0.589332841857	0.551047740812	0.667186502085	0.796065838171	0.568841312589	0.598091986808	0.796744627997	0.651527472388	0.622956593094	0.680813942141	0.809857650651	0.669316721485	0.493558280312	0.688874146369	0.605377646894	0.637663563108	0.490333984617	0.80638580303	0.623555820703	0.783314010975	0.691975930889	0.526935624939	0.787947469874	0.486369539645	0.760851353757	0.548863258252	0.597401390211	0.509117877214	0.61996921453	0.536679038604	0.589225700138	0.769066565554	0.80665905084	0.470719092886	0.61402598997	0.827497394834	0.843454996217
L0006.SH.SD.Soil.ITS1.1	0.640065078886	0.644645994388	0.686336025824	0.0	0.897908357318	0.622455620606	0.677994835382	0.753224132782	0.721398712417	0.624929816534	0.614990874559	0.442886742528	0.596299598715	0.235745234096	0.729903560085	0.733124979535	0.404462019217	0.761343529428	0.364855021778	0.307794088228	0.607822207573	0.751737567191	0.255112394664	0.757526413676	0.215951232553	0.806884079376	0.326607704501	0.75095521306	0.912040858125	0.375167148923	0.720725578087	0.647792323358	0.5833005744	0.749156247465	0.649052771315	0.860464853984	0.598342355379	0.791901919096	0.699865778466	0.287541662385	0.583880653805	0.46571176803	0.758830684045	0.895903740309	0.639882548699	0.6998257147	0.894557581182	0.918754119583
L0006.SH.CAS8.Root.ITS1.3	0.872855307677	0.855177900203	0.840266020053	0.897908357318	0.0	0.885182541781	0.87356999688	0.811141250987	0.85548121215	0.863471989235	0.893349180195	0.87123867552	0.893946781186	0.891089278624	0.853395929816	0.826387858497	0.864985110975	0.817597081477	0.894306169214	0.86470441021	0.888480672012	0.868734372173	0.902106264131	0.835309826904	0.902436035171	0.818697001005	0.890618889705	0.843810975517	0.61184610405	0.880370894515	0.865504820857	0.8749806246	0.898649861858	0.821186796301	0.859790204678	0.605676319993	0.887424638146	0.814435540747	0.843416776554	0.884057639402	0.890764533701	0.853627915314	0.822327876937	0.614097702786	0.869880436492	0.856039887909	0.533325101542	0.518023046406
L0006.SH.GE.Soil.ITS1.2	0.475123438402	0.408811073822	0.670398505833	0.622455620606	0.885182541781	0.0	0.423745059837	0.7336271181	0.729199628314	0.595913460125	0.257360264035	0.699325184798	0.489003586048	0.583708766005	0.562509188407	0.582423551465	0.6881832752	0.651478279349	0.661057526344	0.688024647793	0.245315581821	0.55714586987	0.621899355993	0.598261769615	0.605221275932	0.725596897964	0.664671342498	0.746582018802	0.861896993784	0.654321319801	0.540821820008	0.277716282867	0.488689724071	0.616570792871	0.598419698853	0.808720786572	0.506274869485	0.66175321125	0.69464122778	0.659539773561	0.491712214867	0.694975305056	0.627673583895	0.854311543842	0.611408037688	0.567590011675	0.881530623373	0.899163458721
L0006.SH.GE.Epi.ITS1.2	0.340893041434	0.351811788711	0.594161891141	0.677994835382	0.87356999688	0.423745059837	0.0	0.656964747134	0.657579892638	0.55309959568	0.500423224605	0.639946345084	0.591187772296	0.644435740941	0.742589299089	0.473191151944	0.670955010155	0.757667343101	0.63402480212	0.687202493498	0.488453405428	0.750421588415	0.669448488626	0.467982336592	0.661103659155	0.618443731673	0.645253897743	0.710939140793	0.856124310541	0.612123082126	0.733762988915	0.487942807927	0.606039302264	0.739564651132	0.553013793015	0.804451561365	0.603333947203	0.515172078717	0.627738394547	0.644642034112	0.585118092272	0.650816507938	0.742196142658	0.856339218314	0.544562528599	0.416646641543	0.85557616654	0.906124438275
L0006.SH.PU.Endo.ITS1.3	0.682374390139	0.655154547831	0.445011964528	0.753224132782	0.811141250987	0.7336271181	0.656964747134	0.0	0.432266458017	0.562625148499	0.76048408907	0.654870173305	0.629720624518	0.749365991323	0.818220214808	0.617854969216	0.657133677122	0.826797365949	0.72515276849	0.669575205977	0.742740407119	0.83130609999	0.744346034383	0.597323685272	0.747691939069	0.64845069335	0.718656743349	0.5090356244	0.803812912108	0.700025933599	0.811954520664	0.748528834891	0.649912476375	0.829081968299	0.527786518849	0.771859501779	0.632495163615	0.602650131196	0.536599349732	0.700234276695	0.62669357103	0.656346576701	0.812508129528	0.816230120752	0.563697801366	0.691925193281	0.834128343309	0.855300272521
L0006.SH.PU.Endo.ITS1.2	0.65269782429	0.657015151406	0.420735990733	0.721398712417	0.85548121215	0.729199628314	0.657579892638	0.432266458017	0.0	0.494231061485	0.741464805883	0.64165695845	0.598895948441	0.71888402155	0.842988091824	0.63820547949	0.639854331774	0.839872451876	0.697370227373	0.66366988622	0.742627844459	0.841533613534	0.712668407378	0.608304688344	0.728917374562	0.679831784187	0.688636849864	0.512474570703	0.842362984382	0.673086605183	0.831437952917	0.739801385103	0.6113417455	0.835733815524	0.531112729974	0.812654982461	0.594251986505	0.644739313385	0.532115886841	0.670735217036	0.563486821404	0.643684649001	0.823543896863	0.827436929355	0.447956089676	0.667916931907	0.845391621707	0.851553024555
L0006.SH.PU.Epi.ITS1.4	0.540584433367	0.529761043666	0.376137052701	0.624929816534	0.863471989235	0.595913460125	0.55309959568	0.562625148499	0.494231061485	0.0	0.615087822842	0.615408028993	0.38812090969	0.606199249335	0.738294581034	0.628246553744	0.629944762243	0.760802798517	0.596688157929	0.614884607545	0.61557672649	0.758881059012	0.61972585304	0.59120260452	0.626581319071	0.706047575888	0.594946390386	0.595976101124	0.86211432095	0.575043108493	0.72962955779	0.630257546094	0.348254756272	0.746500080903	0.327508870829	0.801329790136	0.403382098837	0.695248802522	0.427253636887	0.577938249322	0.393222800509	0.611988205115	0.748644989396	0.841978455882	0.361332891016	0.60011227193	0.854992823995	0.886787014257
