L0006.SH.SD.Soil.ITS.Om.2	L0006.SH.GE.Soil.ITS.Om.2	L0006.SH.SD.Endo.ITS.Om.1	L0006.SH.GE.Soil.ITS.Om.1	L0006.SH.SD.Epi.ITS.Om.3	L0006.SH.SD.Soil.ITS.Om.3	L0006.SH.SD.Epi.ITS.Om.2	L0006.SH.GE.Soil.ITS.Om.3	L0006.SH.GE.Endo.ITS.Om.4	L0006.SH.SD.Epi.ITS.Om.1	L0006.SH.CAS9.Root.ITS.Om.3	L0006.SH.GE.Epi.ITS.Om.2	L0006.SH.CAS9.Soil.ITS.Om.3	L0006.SH.GE.Epi.ITS.Om.3	L0006.SH.GE.Endo.ITS.Om.3	L0006.SH.SD.Endo.ITS.Om.2	L0006.SH.PU.Soil.ITS.Om.3	L0006.SH.PU.Endo.ITS.Om.3	L0006.SH.SD.Endo.ITS.Om.3	L0006.SH.SD.Endo.ITS.Om.4	L0006.SH.CAS9.Root.ITS.Om.1	L0006.SH.PU.Epi.ITS.Om.3	L0006.SH.GE.Epi.ITS.Om.4	L0006.SH.CAS8.Root.ITS.Om.2	L0006.SH.GE.Soil.ITS.Om.4	L0006.SH.SD.Soil.ITS.Om.1	L0006.SH.SD.Soil.ITS.Om.4	L0006.SH.CAS9.Root.ITS.Om.2	L0006.SH.SD.Epi.ITS.Om.4	L0006.SH.CAS9.Soil.ITS.Om.1	L0006.SH.PU.Soil.ITS.Om.2	L0006.SH.GE.Endo.ITS.Om.2	L0006.SH.CAS9.Soil.ITS.Om.2	L0006.SH.PU.Epi.ITS.Om.4	L0006.SH.PU.Endo.ITS.Om.4	L0006.SH.PU.Soil.ITS.Om.1	L0006.SH.CAS8.Root.ITS.Om.3	L0006.SH.PU.Epi.ITS.Om.2	L0006.SH.CAS8.Root.ITS.Om.1	L0006.SH.PU.Soil.ITS.Om.4	L0006.SH.CAS8.Soil.ITS.Om.3	L0006.SH.GE.Endo.ITS.Om.1	L0006.SH.CAS8.Soil.ITS.Om.1	L0006.SH.GE.Epi.ITS.Om.1	L0006.SH.PU.Epi.ITS.Om.1	L0006.SH.CAS8.Soil.ITS.Om.2	L0006.SH.PU.Endo.ITS.Om.2	L0006.SH.PU.Endo.ITS.Om.1
L0006.SH.SD.Soil.ITS.Om.2	0.0	0.721847772068	0.498279203398	0.708842222194	0.545966137109	0.38446811453	0.585341895488	0.697597314827	0.940755994753	0.416879271329	0.938725867028	0.836236658888	0.86388498934	0.788333295077	0.88716105075	0.667687265637	0.709723387726	0.899843540984	0.603877131662	0.635525061747	0.84412571142	0.804384217358	0.787222842455	0.949252057148	0.734197171387	0.319432307948	0.388585853982	0.860734453915	0.521398636669	0.743355441511	0.69281611347	0.946573336956	0.820548521281	0.827519790356	0.946658596403	0.807680490816	0.870074264258	0.856906355079	0.911090418223	0.798678533432	0.830416556754	0.942086869844	0.866019734468	0.832027102232	0.810894125101	0.90209227821	0.839704858906	0.972584241732
L0006.SH.GE.Soil.ITS.Om.2	0.721847772068	0.0	0.834677975692	0.313339096184	0.728134527825	0.754758229212	0.775277334588	0.382157278063	0.704518187013	0.743026416177	0.862063133227	0.586370734343	0.73876778806	0.543419095549	0.648717065277	0.771359017069	0.419533055236	0.765323945982	0.807591940511	0.802295705227	0.713435050621	0.562648401826	0.469868308538	0.89433153484	0.363619899738	0.715566788706	0.736049426632	0.777318470793	0.835453827138	0.664723084008	0.425860626703	0.732522572825	0.641451441153	0.641555215205	0.836473264712	0.491882292696	0.856476500431	0.734238624408	0.823313445317	0.480530809028	0.745343421388	0.70576912963	0.73131565242	0.583619484845	0.772108161805	0.832117400249	0.784262944671	0.925291620603
L0006.SH.SD.Endo.ITS.Om.1	0.498279203398	0.834677975692	0.0	0.838038193836	0.580885337865	0.546119236736	0.56301677321	0.815719804853	0.928820598936	0.458691510424	0.919585274279	0.869651831957	0.901028673448	0.886303535828	0.910320481344	0.577917933615	0.80387834255	0.863910543438	0.543110881565	0.494496563112	0.857579169961	0.826859256147	0.844850468396	0.937193544023	0.856773459691	0.426893705904	0.535264925	0.926641123647	0.547391397937	0.844909528381	0.783674492264	0.952854165675	0.892103296507	0.861187950677	0.947449341999	0.882261848624	0.864960074938	0.825755669973	0.924139003725	0.856995326414	0.927668904695	0.953636731423	0.912843057063	0.853445788078	0.777212371024	0.935684028248	0.792837506668	0.969693774324
L0006.SH.GE.Soil.ITS.Om.1	0.708842222194	0.313339096184	0.838038193836	0.0	0.741211516887	0.729685292305	0.748502751335	0.343901935085	0.752586788206	0.756079168942	0.807460663694	0.62840002984	0.672947708542	0.51838317072	0.656776533016	0.74992744428	0.401506945065	0.813520405347	0.800394725825	0.829394841131	0.674320364207	0.593934318648	0.451167320367	0.849242925153	0.339031014717	0.734024989342	0.730461545492	0.732286845233	0.826864715406	0.635137325078	0.444032554538	0.783007874792	0.560502974883	0.670841191712	0.84515864874	0.482838011364	0.785491067795	0.767060535338	0.799920207718	0.486669150931	0.715314122012	0.747710567499	0.745702713884	0.585935359565	0.780301245902	0.819501932549	0.749647689116	0.957228833163
L0006.SH.SD.Epi.ITS.Om.3	0.545966137109	0.728134527825	0.580885337865	0.741211516887	0.0	0.530535725002	0.500782989363	0.7173900264	0.92746447987	0.443944446891	0.879915622687	0.896243016647	0.880772559132	0.735697127681	0.842080983132	0.562126004538	0.726714500354	0.837082299177	0.615495507623	0.47765707529	0.829930481722	0.751025051639	0.776061082714	0.8993861158	0.757960777262	0.497060045707	0.474825202229	0.806450731437	0.510899996015	0.768948418456	0.700284126505	0.87619326697	0.845094702553	0.79378973335	0.907984247941	0.774124080327	0.815806269476	0.755131976589	0.845778600847	0.807185293266	0.807898443767	0.863348819336	0.847485000044	0.767979765785	0.754279032071	0.886658907876	0.779256162493	0.951926715905
L0006.SH.SD.Soil.ITS.Om.3	0.38446811453	0.754758229212	0.546119236736	0.729685292305	0.530535725002	0.0	0.576503598491	0.750550955202	0.927747836961	0.44653522982	0.949157349995	0.830588593222	0.874246348036	0.818714837742	0.902963181641	0.684119717282	0.70766701837	0.897221246984	0.589423141528	0.612676976123	0.848189789843	0.802849212129	0.795471679254	0.954422638545	0.767227329971	0.354037077841	0.346117060651	0.886800883945	0.475492610209	0.775553365389	0.703888425665	0.964439454792	0.810512229553	0.85305597683	0.943530831392	0.782490695098	0.869113623848	0.854611930685	0.925083834889	0.787174702238	0.871159333379	0.943742670228	0.883829734698	0.839665318211	0.80346516311	0.919869552581	0.818158791697	0.977864891469
L0006.SH.SD.Epi.ITS.Om.2	0.585341895488	0.775277334588	0.56301677321	0.748502751335	0.500782989363	0.576503598491	0.0	0.756707764477	0.965774212704	0.527386771295	0.898541418437	0.894642619804	0.938227056629	0.807275249666	0.890176841638	0.560589724688	0.776531177063	0.896292961927	0.591037942181	0.55637321958	0.865758045046	0.821443578471	0.81466054454	0.940727501549	0.804651399291	0.587402392496	0.577382330187	0.862472280065	0.565798566939	0.772947658482	0.719958398366	0.949897308744	0.864666646463	0.850573940591	0.964839815071	0.857441916797	0.83117896655	0.815484204488	0.875992760066	0.809101423887	0.899801941398	0.899473147773	0.881974081678	0.823170521885	0.770717581779	0.953669247968	0.719727578127	0.967965078377
L0006.SH.GE.Soil.ITS.Om.3	0.697597314827	0.382157278063	0.815719804853	0.343901935085	0.7173900264	0.750550955202	0.756707764477	0.0	0.746231378984	0.711554028665	0.815717829124	0.600952635909	0.68587604546	0.492178788909	0.621477652021	0.724610289555	0.470679314102	0.833369937974	0.750915675841	0.787639764987	0.647474867271	0.64628550255	0.476147561737	0.836227375175	0.337964957725	0.726454989134	0.725347827622	0.735715519049	0.803147321474	0.617810034305	0.496354344755	0.751378223041	0.547852007333	0.675183117115	0.858885315911	0.528278729459	0.79826587379	0.77515475952	0.790349816716	0.493689144395	0.690794520732	0.769470407341	0.739962218023	0.600339977085	0.806813438825	0.794943178443	0.741410232476	0.964551416309
L0006.SH.GE.Endo.ITS.Om.4	0.940755994753	0.704518187013	0.928820598936	0.752586788206	0.92746447987	0.927747836961	0.965774212704	0.746231378984	0.0	0.95202482532	0.781562637751	0.562195402082	0.774526158666	0.600424549445	0.457631422747	0.865194769935	0.75095905087	0.542768454943	0.867879544472	0.884350762254	0.698447824985	0.60052441995	0.549368160386	0.802896841377	0.653692863486	0.900900647089	0.932836088389	0.758542832543	0.956302066034	0.933931731303	0.827280983296	0.339112483371	0.826403167715	0.711864412669	0.632491960066	0.714638337313	0.809098845193	0.693192918219	0.68916502699	0.735693371129	0.890549714179	0.421440135367	0.743374891822	0.603503264791	0.781753993791	0.850456884833	0.851156177605	0.830738086568
L0006.SH.SD.Epi.ITS.Om.1	0.416879271329	0.743026416177	0.458691510424	0.756079168942	0.443944446891	0.44653522982	0.527386771295	0.711554028665	0.95202482532	0.0	0.931724192205	0.856536241452	0.881578832607	0.800926926942	0.867233886838	0.588164538788	0.733022116478	0.876206072419	0.462351496674	0.491969004492	0.850251111761	0.810086557827	0.819636186969	0.947710412509	0.785736792885	0.346078114625	0.400532748872	0.876833431385	0.465142440299	0.774612578534	0.724621570287	0.967479009996	0.869112388469	0.83185756695	0.963776963275	0.804743504205	0.84269484446	0.853404686679	0.898314838683	0.808839888184	0.822900069676	0.991550464471	0.898852742672	0.796423371826	0.776186839449	0.897219382205	0.75293470895	0.965037652649
