1161.SH.SD.Endo.1	1161.SH.SD.Soil.2	1161.SH.PU.Soil.1	1161.SH.PU.Endo.1	1161.SH.PU.Epi.1	1161.SH.PU.Soil.2	1161.SH.PU.Epi.3	1161.SH.GA.Endo.1	1161.SH.GA.Epi.1	1161.SH.SD.Soil.4	1161.SH.GA.Epi.2	1161.SH.PU.Epi.2	1161.SH.PU.Endo.3	1161.SH.PU.Soil.4	1161.SH.PU.Endo.2	1161.SH.GA.Soil.1	1161.SH.GA.Soil.2	1161.SH.GA.Soil.4	1161.SH.SD.Epi.1	1161.SH.SD.Soil.1	1161.SH.GA.Endo.2	1161.SH.PU.Soil.3	1161.SH.SD.Soil.3	1161.SH.SD.Endo.2	1161.SH.PU.Endo.4	1161.SH.GA.Epi.3	1161.SH.SD.Endo.3	1161.SH.SD.Epi.4	1161.SH.SD.Epi.2	1161.SH.GA.Endo.4	1161.SH.GA.Soil.3	1161.SH.GA.Endo.3	1161.SH.SD.Epi.3	1161.SH.GA.Epi.4	1161.SH.PU.Epi.4	1161.SH.SD.Endo.4
OTU_81	49	33	640	0	99	210	26	15	131	21	28	181	3	93	9	493	240	46	86	58	1	108	12	1	0	16	8	18	18	22	102	6	26	20	3	2
OTU_3	965	479	1363	1393	5545	658	632	2290	9516	33	4704	301	669	379	73	2655	3203	103	1059	242	450	228	44	141	184	698	100	194	661	146	422	921	268	129	202	56
OTU_670	28	90	2779	25	785	1079	149	21	277	59	109	166	5	361	0	2141	772	152	91	165	0	459	41	3	0	89	6	38	57	28	206	18	49	36	8	4
OTU_2	260	17	379	7304	1025	94	186	4721	355	29	56	180	3556	16	586	63	24	1	65	17	884	46	9	158	131	16	304	12	37	758	1	127	50	36	34	108
OTU_32	37	508	3009	0	157	1712	58	0	43	277	10	56	0	788	0	1202	219	106	32	424	0	748	450	4	0	9	12	37	49	0	180	0	28	8	2	33
OTU_29	10	118	2850	0	413	929	41	0	24	65	12	45	0	422	0	510	197	72	2	210	0	428	127	0	0	7	3	7	2	0	55	2	17	7	1	39
OTU_535	1	8	67	22	19	36	9	0	7	5	3	7	0	12	0	50	2	2	0	9	0	22	2	0	1	95	0	2	2	0	88	18	2	4	1	2
OTU_9	255	105	469	464	2116	345	439	3803	1401	39	1030	405	181	138	119	601	87	33	459	124	926	137	25	138	151	575	128	128	119	782	29	168	117	113	84	52
OTU_56	4	55	711	9	1018	243	163	11	450	25	63	179	1	96	6	550	111	17	78	103	0	97	25	2	2	43	4	4	41	7	26	3	28	12	13	0
OTU_40	388	61	104	3218	368	74	15	893	106	37	22	35	485	23	48	133	43	5	65	82	230	28	21	71	147	3	113	11	69	252	9	18	11	8	7	44
OTU_27	530	1334	519	0	164	305	97	0	65	891	16	17	0	184	0	1028	344	60	95	1330	0	141	613	8	0	11	84	156	88	3	96	0	61	5	9	139
OTU_92	1	11	17	2	120	6	39	21	644	0	134	54	0	0	0	40	5	2	24	6	1	5	0	0	0	37	0	2	24	2	1	3	3	8	5	0
OTU_17	17	10	183	1385	1545	24	179	1954	1053	2	319	154	118	41	20	195	193	5	65	11	271	48	3	94	205	103	24	10	90	97	21	74	47	38	78	1
OTU_340	13	5	60	108	356	26	81	394	516	5	124	56	52	10	2	47	14	3	68	5	27	27	2	4	4	74	2	22	46	37	7	6	34	28	11	2
OTU_233	2	14	278	0	52	57	16	0	6	15	2	7	0	52	0	24	43	6	31	22	0	53	10	0	0	1	0	9	7	0	14	0	15	1	1	1
OTU_327	107	0	8	0	0	0	16	1066	115	2	5	1	4373	1	1381	37	3	0	14	0	110	2	0	177	14	10	29	2	8	10	0	15	20	0	2	1
OTU_13	34	60	1782	29	11316	741	1736	99	4410	44	1083	1623	0	312	1	1718	602	157	81	121	9	358	44	4	1	509	10	76	45	92	180	17	50	519	131	10
OTU_10	274	488	4621	122	12918	2009	2054	218	6072	395	2664	2166	14	878	15	5608	1334	357	300	743	66	923	286	13	4	1028	78	231	326	299	298	263	353	855	141	57
OTU_66	5	122	1129	7	65	304	11	0	9	54	0	13	0	185	0	229	113	24	9	115	7	221	42	0	0	2	6	11	1	0	25	0	5	1	1	2
OTU_85	30	27	509	120	153	133	20	318	107	6	4	25	67	36	13	253	50	11	33	21	41	35	2	80	10	6	17	11	61	41	54	8	13	9	1	9
OTU_4	145	29	70	14778	2700	124	448	318	147	7	110	297	449	17	2185	43	33	4	251	24	1048	50	4	1189	739	21	203	48	92	89	5	26	43	10	113	6
OTU_49	33	126	1105	2	125	367	12	27	175	57	29	28	0	132	0	579	130	26	24	107	8	150	60	3	2	5	23	14	30	4	76	3	27	17	3	2
OTU_3175	0	7	51	0	10	11	4	3	6	5	3	5	0	11	0	187	15	6	2	5	0	9	8	0	0	1	2	0	0	2	7	2	0	2	2	0
OTU_312	130	31	12	152	26	13	3	101	2	11	0	0	17	4	19	24	5	0	9	38	12	19	13	17	0	1	35	15	27	4	2	3	13	1	0	14
OTU_7	995	237	246	202	26	145	354	0	2441	47	17	183	70	23	10	1042	2	5	1037	314	229	42	66	91	6	138	44	398	409	59	0	69	187	131	8	52
OTU_1718	5	21	232	0	54	86	8	0	20	11	4	7	0	50	0	137	70	18	8	23	0	59	9	0	0	1	0	5	2	3	7	0	1	2	0	1
OTU_228	23	20	90	3	14	15	3	14	33	13	5	5	0	11	0	118	43	9	5	22	0	11	9	1	0	1	1	2	4	1	4	3	1	2	0	2
OTU_83	0	0	145	0	94	41	224	0	894	0	233	2	0	60	0	316	55	42	0	1	15	16	0	0	0	45	0	0	0	203	5	17	0	456	183	0
OTU_771	4	8	10	0	0	1	0	0	2	3	1	1	0	0	0	41	21	21	26	62	0	0	7	0	0	1	0	1	6	0	0	0	5	1	0	0
OTU_800	1	6	424	1	573	169	136	0	115	5	26	86	9	49	0	350	86	33	1	11	0	64	8	0	0	24	0	2	5	0	22	0	1	9	5	0
