L0006.SH.GE.Epi.ITS1.3	L0006.SH.GE.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.1	L0006.SH.CAS8.Root.ITS1.3	L0006.SH.GE.Soil.ITS1.2	L0006.SH.GE.Epi.ITS1.2	L0006.SH.PU.Endo.ITS1.3	L0006.SH.PU.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.4	L0006.SH.GE.Soil.ITS1.1	L0006.SH.SD.Endo.ITS1.3	L0006.SH.PU.Soil.ITS1.3	L0006.SH.SD.Soil.ITS1.3	L0006.SH.CAS9.Soil.ITS1.3	L0006.SH.GE.Endo.ITS1.3	L0006.SH.SD.Endo.ITS1.4	L0006.SH.CAS8.Soil.ITS1.1	L0006.SH.SD.Epi.ITS1.2	L0006.SH.SD.Endo.ITS1.1	L0006.SH.GE.Soil.ITS1.4	L0006.SH.CAS9.Soil.ITS1.1	L0006.SH.SD.Soil.ITS1.4	L0006.SH.GE.Endo.ITS1.4	L0006.SH.SD.Soil.ITS1.2	L0006.SH.GE.Endo.ITS1.1	L0006.SH.SD.Epi.ITS1.4	L0006.SH.PU.Endo.ITS1.1	L0006.SH.CAS9.Root.ITS1.2	L0006.SH.SD.Epi.ITS1.3	L0006.SH.CAS9.Soil.ITS1.2	L0006.SH.GE.Soil.ITS1.3	L0006.SH.PU.Soil.ITS1.4	L0006.SH.CAS8.Soil.ITS1.3	L0006.SH.PU.Epi.ITS1.3	L0006.SH.CAS9.Root.ITS1.1	L0006.SH.PU.Soil.ITS1.1	L0006.SH.GE.Endo.ITS1.2	L0006.SH.PU.Epi.ITS1.1	L0006.SH.SD.Epi.ITS1.1	L0006.SH.PU.Soil.ITS1.2	L0006.SH.SD.Endo.ITS1.2	L0006.SH.CAS8.Soil.ITS1.2	L0006.SH.CAS9.Root.ITS1.3	L0006.SH.PU.Epi.ITS1.2	L0006.SH.GE.Epi.ITS1.1	L0006.SH.CAS8.Root.ITS1.2	L0006.SH.CAS8.Root.ITS1.1
OTU_18	3359	7581	1	0	0	636	17729	0	1	173	148	0	124	0	1	29	0	0	0	1	634	0	0	290	0	1	0	0	0	0	0	952	185	0	26	0	20	178	9	0	3	1	0	0	54	99	0	0
OTU_1	2	0	38937	2	0	0	2	42205	75	7890	1	1	10832	2	1	0	2	0	2	1	2	1	1	1	2	1	1	2141	0	3	1	5	938	1	12195	0	244	1	1111	3	68	1	1	0	77	0	0	0
OTU_38	306	803	1228	100	8	640	897	2	100	289	450	2218	6	179	19	3271	5382	34	74	1260	174	12	240	2425	98	8601	198	196	26	134	1	340	112	0	2	48	2	2316	25	256	16	3529	42	7	127	579	39	6
OTU_1828	21	68	2	0	10	31	205	0	0	0	4	2	0	1	0	48	41	8	1	41	3	23	0	111	3	757	0	0	23	3	0	4	0	0	0	19	1	228	0	9	0	41	0	0	0	120	0	1
OTU_54	30	744	0	0	0	10382	183	0	1	0	84	1	2	0	0	0	1	0	0	0	1283	0	0	211	0	0	0	0	1	0	0	63	1	1	1	0	0	0	0	0	1	0	0	0	0	32	0	0
OTU_57	173	825	83	0	0	234	542	1281	1271	9	32	26	47	2	86	5157	5	25	0	6	86	78	1	5890	2	219	0	927	0	1	62	175	67	37	89	11	16	3622	118	1	64	25	30	8	99	5	0	0
OTU_30	0	3	564	1	0	0	0	714	742	704	1	0	5139	1	0	0	1	0	0	1	2	0	0	1	0	0	1	3469	0	0	1	0	1333	0	2976	0	2387	0	1467	0	345	0	0	0	658	1	0	0
OTU_45	0	0	0	74	0	0	1	0	0	0	0	12007	2	1464	1	0	1736	0	547	35	0	0	1511	0	1637	1	700	2	0	1849	1	1	0	2	0	0	0	0	0	41	0	1415	0	0	1	0	0	0
OTU_584	0	0	0	0	0	21	0	0	0	4	0	0	39	0	0	0	0	0	0	0	37	10	0	0	0	0	0	0	0	0	15	0	251	0	0	0	13	0	0	0	9	0	0	0	0	0	0	0
OTU_40	204	0	0	9	0	0	0	0	0	0	0	0	1	1	0	1071	12045	0	0	45	3	0	472	0	0	0	1680	0	0	0	0	3	0	0	0	0	1	0	0	18	0	1	0	0	0	0	0	0
OTU_5365	50	192	355	1	0	65	110	0	46	133	55	5	1	0	6	473	41	24	0	2	31	0	6	514	1	1340	4	90	0	1	0	15	42	0	0	14	0	337	11	0	10	73	16	2	53	101	13	0
OTU_426	0	0	3	6	0	0	0	27	1	6	0	46	7	1	0	0	64	0	97	46	0	0	3	0	5	0	29	13	1	54	0	0	9	0	8	0	27	0	17	70	13	202	0	0	8	0	0	0
OTU_21	52	5	1700	26	0	31	63	2408	15096	1051	14	47	1958	36	0	41	139	0	7	71	2	0	148	0	43	1	65	736	0	57	0	10	1015	0	483	0	960	9	176	15	289	12	0	0	552	2	0	0
OTU_67	0	0	0	1124	0	0	0	0	0	1	0	303	0	1636	1	0	420	0	155	284	0	0	1540	0	1610	0	175	0	0	292	1	0	1	0	0	0	0	0	0	220	0	319	0	0	0	0	0	0
OTU_116	0	0	0	2424	0	0	0	0	0	0	55	0	0	235	0	0	8	0	53	450	0	1	259	0	782	0	14	1	0	4	0	0	3	0	0	0	36	0	0	284	0	0	0	0	0	1	0	0
OTU_198	0	0	1	140	0	27	0	0	0	35	0	142	126	37	0	0	0	0	18	61	1447	0	191	0	107	0	6	0	0	8	0	0	29	0	12	0	2	0	0	14	0	1523	12	0	0	0	0	0
OTU_256	12	102	141	7	0	34	22	86	53	13	26	14	9	16	52	132	9	4	1	6	30	66	17	328	15	47	3	277	0	1	26	32	16	0	15	0	4	38	36	2	12	18	25	0	18	16	1	0
OTU_406	3	8	16	0	0	0	4	1	7	0	2	0	0	0	0	64	0	0	0	0	6	0	0	292	0	50	0	100	0	0	1	0	0	0	0	0	2	35	4	0	3	0	0	0	0	5	0	0
