L0006.SH.SD.Soil.ITS.Om.2	L0006.SH.GE.Soil.ITS.Om.2	L0006.SH.SD.Endo.ITS.Om.1	L0006.SH.GE.Soil.ITS.Om.1	L0006.SH.SD.Epi.ITS.Om.3	L0006.SH.SD.Soil.ITS.Om.3	L0006.SH.SD.Epi.ITS.Om.2	L0006.SH.GE.Soil.ITS.Om.3	L0006.SH.GE.Endo.ITS.Om.4	L0006.SH.SD.Epi.ITS.Om.1	L0006.SH.CAS9.Root.ITS.Om.3	L0006.SH.GE.Epi.ITS.Om.2	L0006.SH.CAS9.Soil.ITS.Om.3	L0006.SH.GE.Epi.ITS.Om.3	L0006.SH.GE.Endo.ITS.Om.3	L0006.SH.SD.Endo.ITS.Om.2	L0006.SH.PU.Soil.ITS.Om.3	L0006.SH.PU.Endo.ITS.Om.3	L0006.SH.SD.Endo.ITS.Om.3	L0006.SH.SD.Endo.ITS.Om.4	L0006.SH.CAS9.Root.ITS.Om.1	L0006.SH.PU.Epi.ITS.Om.3	L0006.SH.GE.Epi.ITS.Om.4	L0006.SH.CAS8.Root.ITS.Om.2	L0006.SH.GE.Soil.ITS.Om.4	L0006.SH.SD.Soil.ITS.Om.1	L0006.SH.SD.Soil.ITS.Om.4	L0006.SH.CAS9.Root.ITS.Om.2	L0006.SH.SD.Epi.ITS.Om.4	L0006.SH.CAS9.Soil.ITS.Om.1	L0006.SH.PU.Soil.ITS.Om.2	L0006.SH.GE.Endo.ITS.Om.2	L0006.SH.CAS9.Soil.ITS.Om.2	L0006.SH.PU.Epi.ITS.Om.4	L0006.SH.PU.Endo.ITS.Om.4	L0006.SH.PU.Soil.ITS.Om.1	L0006.SH.CAS8.Root.ITS.Om.3	L0006.SH.PU.Epi.ITS.Om.2	L0006.SH.CAS8.Root.ITS.Om.1	L0006.SH.PU.Soil.ITS.Om.4	L0006.SH.CAS8.Soil.ITS.Om.3	L0006.SH.GE.Endo.ITS.Om.1	L0006.SH.CAS8.Soil.ITS.Om.1	L0006.SH.GE.Epi.ITS.Om.1	L0006.SH.PU.Epi.ITS.Om.1	L0006.SH.CAS8.Soil.ITS.Om.2	L0006.SH.PU.Endo.ITS.Om.2	L0006.SH.PU.Endo.ITS.Om.1
OTU_14	11256	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_19	119	1607	0	163	58	0	0	1469	0	78	0	0	55	4	0	0	1089	0	0	0	0	0	0	0	707	28	17	52	0	279	410	2	0	324	0	484	0	0	0	333	57	0	72	211	0	35	0	0
OTU_34	0	0	1097	0	0	2	0	0	0	0	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	2602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_40	0	0	0	2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_12	9708	5	706	14	495	2525	840	682	0	1950	4	0	0	0	0	28	15	0	2595	1464	1	0	6	1	86	8723	16606	0	2216	18	2842	0	0	1	0	1	5	0	0	2	1	0	1	37	27	0	7	0
OTU_11	4	0	1454	0	16544	2	18	0	0	1	0	0	0	0	0	7434	0	0	0	2067	0	0	0	0	0	0	524	0	2	0	0	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0
OTU_20	1274	0	0	0	632	1308	37	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	2489	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_93	78	0	0	54	2	48	16	14	0	0	0	0	0	0	0	0	5	0	7	0	0	0	9	0	33	1	40	0	0	32	4	0	27	0	0	0	0	0	0	9	0	0	28	0	0	0	0	0
OTU_6	16108	973	3055	1212	270	4096	1206	1624	0	3057	0	0	47	10	0	56	4687	1	1075	2614	1	97	464	0	734	12267	16540	0	2731	77	4040	0	55	23	0	386	0	71	0	681	0	0	0	15	34	0	1	0
OTU_62	85	3	0	1944	10	1	30	1552	0	35	42375	0	0	255	298	220	1	0	0	1	46138	0	0	24442	0	3	0	21260	2	1	0	0	0	0	0	0	3514	0	14076	0	0	0	8	1	0	0	0	1
