shared name	BetweennessCentrality
OTU_3	0.00361792
OTU_1022_fun	0.02310356
OTU_3746_fun	0.11897936
OTU_201_fun	0.10462353
OTU_2	0.07640876
OTU_38_fun	6.0494E-4
OTU_11_fun	0.0094752
OTU_4_fun	0.04668078
OTU_61_fun	0.04879772
OTU_35_fun	0.04735148
OTU_41_fun	0.0391253
OTU_36_fun	0.01384045
OTU_94_fun	0.04392928
OTU_69_fun	0.03207638
OTU_1259_fun	0.14558915
OTU_9_fun	0.01664555
OTU_129_fun	0.03638255
OTU_9	0.00735982
OTU_3_fun	0.04055244
OTU_10_fun	0.02852903
OTU_2863_fun	0.02845265
OTU_14_fun	0.0195885
OTU_6_fun	0.04758285
OTU_40	0.00850002
OTU_196_fun	0.00225106
OTU_17	0.01285982
OTU_340	0.01894064
OTU_82_fun	0.0148813
OTU_13	0.02404014
OTU_1_fun	0.04381649
OTU_21_fun	0.03874464
OTU_7_fun	0.00353608
OTU_10	0.0
OTU_85	0.01602509
OTU_232_fun	0.00109398
OTU_4	0.01449909
OTU_227_fun	0.03556718
OTU_809_fun	0.01054681
OTU_271_fun	0.01054681
OTU_49	0.0
OTU_256_fun	0.03336235
OTU_312	0.08877031
OTU_55_fun	0.0141844
OTU_126_fun	0.02857518
OTU_282_fun	0.01787135
OTU_50_fun	0.01766314
OTU_51_fun	0.09076288
OTU_7	0.0
OTU_8	0.07490643
OTU_83_fun	0.04377277
OTU_76_fun	0.05320477
OTU_213_fun	0.01740371
OTU_111_fun	0.0293765
OTU_34	0.05085362
OTU_2_fun	0.00580394
OTU_180	0.01829449
OTU_486	0.00596361
OTU_6	0.07440323
OTU_145_fun	0.01028552
OTU_71	0.00538899
OTU_99	0.01562916
OTU_97_fun	0.05419169
OTU_33	0.00413457
OTU_1300	0.00584173
OTU_30	0.06544642
OTU_118	6.3584E-4
OTU_4648	0.00140725
OTU_20	0.02140519
OTU_22_fun	0.00259231
OTU_11	0.01092301
OTU_112	0.0
OTU_60	0.00993712
OTU_68_fun	0.04257592
OTU_4120	0.0
OTU_5365_fun	0.03097168
OTU_96	0.0422102
OTU_37	0.0274973
OTU_111	0.01464731
OTU_174_fun	0.02393613
OTU_95	0.02218657
OTU_48	0.00142045
OTU_435	0.00481419
OTU_162	0.00747782
OTU_141_fun	0.00981932
OTU_280	0.0
OTU_76	0.06570999
OTU_93	0.04365416
OTU_178_fun	0.00598376
OTU_748	0.0
OTU_267	0.0
OTU_21	0.01169174
OTU_75_fun	0.01017251
OTU_4090	1.8714E-4
OTU_51	0.02734868
OTU_65	0.00391226
OTU_192	0.00596361
OTU_433	0.00844033
OTU_31	0.02096508
OTU_57_fun	0.00582874
OTU_2753_fun	0.00582874
OTU_221_fun	0.0
OTU_1984	0.00976951
OTU_59	0.00224909
OTU_219	0.0
OTU_155	2.7032E-4
OTU_689	0.0174059
OTU_19_fun	0.0010025
OTU_493	0.0143063
OTU_163	0.01210246
OTU_160	0.00177995
OTU_106	0.0371879
OTU_24	0.0030057
OTU_286	0.00657141
OTU_104	0.04782888
OTU_221	0.0
OTU_331	0.01821881
OTU_378	0.00288827
OTU_72	0.01301272
OTU_68	0.01804918
OTU_348_fun	0.0
OTU_954	0.00388028
OTU_67	0.0
OTU_421	0.0
OTU_203	0.04566335
OTU_453	0.00165601
OTU_2373	0.0
OTU_153	0.00337077
OTU_1671	0.00373342
OTU_12_fun	1.4182E-4
OTU_891	0.00241981
OTU_168	0.01521003
OTU_352_fun	0.0
OTU_276	0.0156713
OTU_109	0.00949077
OTU_1804	0.09838109
OTU_1375	0.0141844
OTU_861_fun	0.0
OTU_196	4.584E-5
OTU_599	0.0
OTU_20_fun	0.0
OTU_3989	0.0
OTU_518	0.01084634
OTU_1294	7.8205E-4
OTU_464	0.03390569
