OTU1	OTU2	corr	pval
OTU_81	OTU_75	0.705978787143	0.01
OTU_81	OTU_891	0.654140960568	0.0
OTU_81	OTU_88	0.71146093255	0.0
OTU_81	OTU_270_fun	-0.647688407191	0.01
OTU_3	OTU_9	0.698796817737	0.01
OTU_3	OTU_92	0.719924362215	0.0
OTU_3	OTU_17	0.677354503238	0.02
OTU_3	OTU_340	0.801343171673	0.0
OTU_3	OTU_8	0.817095140464	0.0
OTU_3	OTU_6	0.794981542488	0.0
OTU_3	OTU_1	0.640314385133	0.0
OTU_3	OTU_58	0.682466754878	0.0
OTU_3	OTU_33	0.670705415691	0.03
OTU_3	OTU_20	0.86719778255	0.0
OTU_3	OTU_11	0.645148011244	0.02
OTU_3	OTU_52	0.745608680707	0.0
OTU_3	OTU_443	0.623329048631	0.03
OTU_3	OTU_435	0.645818224672	0.03
OTU_3	OTU_162	0.779740174128	0.0
OTU_3	OTU_93	0.845589325011	0.0
OTU_3	OTU_108	0.715006280424	0.0
OTU_3	OTU_407	0.653528478177	0.04
OTU_3	OTU_222	0.602483983765	0.02
OTU_3	OTU_72	0.666010103865	0.01
OTU_3	OTU_490	0.61553418851	0.01
OTU_3	OTU_954	0.745835971848	0.02
OTU_3	OTU_67	0.830522386711	0.0
OTU_3	OTU_322	0.72604455436	0.02
OTU_3	OTU_1987	0.628042242196	0.04
OTU_3	OTU_83_fun	-0.72189100703	0.0
OTU_3	OTU_145_fun	-0.682814941496	0.01
OTU_3	OTU_213_fun	-0.627473334105	0.04
OTU_3	OTU_4_fun	-0.665979936255	0.0
OTU_3	OTU_3_fun	-0.663441680326	0.01
OTU_3	OTU_119_fun	-0.678006237296	0.01
OTU_3	OTU_69_fun	-0.651699148503	0.03
OTU_3	OTU_14_fun	-0.727584352752	0.01
OTU_3	OTU_177_fun	-0.649263598913	0.03
OTU_3	OTU_111_fun	-0.71375965706	0.01
OTU_3	OTU_110_fun	-0.666717785565	0.0
OTU_3	OTU_1899_fun	-0.644160537001	0.01
OTU_3	OTU_486_fun	-0.637334943215	0.03
OTU_3	OTU_6_oo	-0.724288421828	0.0
OTU_3	OTU_18_oo	-0.651041936348	0.01
OTU_670	OTU_29	0.676259079158	0.01
OTU_670	OTU_56	0.667852185773	0.03
OTU_670	OTU_13	0.602862417725	0.02
OTU_670	OTU_10	0.720649102014	0.01
OTU_670	OTU_800	0.614709793208	0.01
OTU_670	OTU_77	0.814539308261	0.0
OTU_670	OTU_99	0.6749470518	0.0
OTU_670	OTU_1300	0.629783509569	0.02
OTU_670	OTU_96	0.60120855319	0.05
OTU_670	OTU_111	0.769108133538	0.0
OTU_670	OTU_245	0.657141903666	0.01
OTU_670	OTU_95	0.601325861417	0.04
OTU_670	OTU_297	0.714863439086	0.02
OTU_670	OTU_172	0.691180224766	0.01
OTU_670	OTU_435	0.630705660532	0.02
OTU_670	OTU_41	0.823741444957	0.0
OTU_670	OTU_507	0.674493051233	0.0
OTU_670	OTU_270	0.620004845823	0.01
OTU_670	OTU_177	0.637479119777	0.03
OTU_670	OTU_194	0.645395783933	0.03
OTU_670	OTU_61	0.647748212303	0.01
OTU_670	OTU_235	0.672612249982	0.01
OTU_670	OTU_105	0.601776518261	0.02
OTU_670	OTU_689	0.609490654881	0.02
OTU_670	OTU_123	0.60454742198	0.03
OTU_670	OTU_480	0.662253844276	0.01
OTU_670	OTU_129	0.625652920345	0.01
OTU_670	OTU_62	0.672885518469	0.0
OTU_670	OTU_325	-0.653428076507	0.0
OTU_670	OTU_317	0.754406173525	0.0
OTU_670	OTU_2724	0.63888926767	0.02
OTU_670	OTU_150	0.660849923248	0.01
OTU_670	OTU_211	0.649764522203	0.02
OTU_670	OTU_174	0.649506146757	0.01
