OTU1	OTU2	corr	pval
OTU_81	OTU_17	-0.640701541683	0.01
OTU_81	OTU_60	0.610518317969	0.0
OTU_81	OTU_24	-0.629308713615	0.01
OTU_81	OTU_2373	0.642082178966	0.01
OTU_81	OTU_442	0.610272248381	0.0
OTU_81	OTU_276	-0.617888962789	0.01
OTU_3	OTU_340	0.620164303122	0.03
OTU_3	OTU_163	0.615794080558	0.03
OTU_3	OTU_94_fun	-0.839612664703	0.0
OTU_3	OTU_1022_fun	-0.653297909627	0.04
OTU_3	OTU_3746_fun	-0.641686983204	0.04
OTU_3	OTU_201_fun	-0.63918988021	0.04
OTU_2	OTU_40	0.772739795668	0.02
OTU_2	OTU_340	0.771824817848	0.01
OTU_2	OTU_85	0.669859517195	0.02
OTU_2	OTU_180	0.816394597831	0.0
OTU_2	OTU_486	0.674586691784	0.03
OTU_2	OTU_71	0.628599189578	0.01
OTU_2	OTU_96	0.803698248273	0.0
OTU_2	OTU_51	0.825442766831	0.0
OTU_2	OTU_192	0.636598751048	0.05
OTU_2	OTU_1984	0.825979468271	0.0
OTU_2	OTU_689	0.662407403873	0.01
OTU_2	OTU_493	0.706852737563	0.0
OTU_2	OTU_106	0.632154867516	0.02
OTU_2	OTU_104	0.776380063513	0.0
OTU_2	OTU_378	0.660172729288	0.0
OTU_2	OTU_153	0.665436534067	0.03
OTU_2	OTU_276	0.733829497456	0.0
OTU_2	OTU_109	0.761511094101	0.0
OTU_2	OTU_38_fun	-0.651438555823	0.02
OTU_2	OTU_11_fun	-0.71106775497	0.01
OTU_2	OTU_4_fun	-0.656454700874	0.02
OTU_2	OTU_61_fun	-0.606450322373	0.05
OTU_2	OTU_35_fun	-0.679435046878	0.01
OTU_2	OTU_41_fun	-0.789031658729	0.0
OTU_2	OTU_36_fun	-0.666777839855	0.01
OTU_2	OTU_94_fun	-0.639277508917	0.03
OTU_2	OTU_69_fun	-0.623129245822	0.03
OTU_2	OTU_1259_fun	-0.830936937222	0.0
OTU_2	OTU_9_fun	-0.76696556576	0.0
OTU_2	OTU_3746_fun	-0.665397600361	0.01
OTU_2	OTU_129_fun	-0.681842955806	0.0
OTU_2	OTU_201_fun	-0.740817414131	0.01
OTU_9	OTU_17	0.681958429044	0.01
OTU_9	OTU_340	0.749164925532	0.01
OTU_9	OTU_8	0.932981929614	0.0
OTU_9	OTU_180	0.719357921298	0.0
OTU_9	OTU_486	0.621574898918	0.04
OTU_9	OTU_6	0.791615164638	0.0
OTU_9	OTU_99	0.705499052881	0.0
OTU_9	OTU_1300	0.627940465607	0.04
OTU_9	OTU_11	0.816007122519	0.01
OTU_9	OTU_96	0.670551850953	0.02
OTU_9	OTU_48	0.64586319511	0.01
OTU_9	OTU_51	0.68348516803	0.01
OTU_9	OTU_192	0.783368576126	0.01
OTU_9	OTU_433	0.657142663306	0.04
OTU_9	OTU_1984	0.701770819547	0.0
OTU_9	OTU_160	0.709712581188	0.02
OTU_9	OTU_106	0.697454143298	0.0
OTU_9	OTU_453	0.73323769646	0.0
OTU_9	OTU_425	-0.684946073027	0.0
OTU_9	OTU_153	0.677433472298	0.01
OTU_9	OTU_109	0.724693150249	0.0
OTU_9	OTU_4_fun	-0.828961815644	0.0
OTU_9	OTU_3_fun	-0.796417592425	0.0
OTU_9	OTU_10_fun	-0.717580538799	0.01
OTU_9	OTU_94_fun	-0.635066871363	0.04
OTU_9	OTU_2863_fun	-0.729990837584	0.0
OTU_9	OTU_1259_fun	-0.638058974349	0.04
OTU_9	OTU_14_fun	-0.770318513326	0.0
OTU_9	OTU_6_fun	-0.881802046354	0.0
OTU_9	OTU_129_fun	-0.632854472415	0.04
OTU_56	OTU_518	-0.604158145153	0.0
OTU_40	OTU_340	0.69934314311	0.0
OTU_40	OTU_85	0.666752802605	0.04
OTU_40	OTU_1984	0.652739629003	0.0
OTU_40	OTU_155	0.639189088884	0.05
OTU_40	OTU_689	0.683173594151	0.01
OTU_40	OTU_493	0.639308662009	0.0
OTU_40	OTU_104	0.703558896415	0.01
OTU_40	OTU_276	0.613101030702	0.0
OTU_40	OTU_196_fun	-0.624527251528	0.03
OTU_40	OTU_35_fun	-0.68562205859	0.0
OTU_40	OTU_41_fun	-0.666065761009	0.02
OTU_40	OTU_1259_fun	-0.639801268698	0.0
OTU_40	OTU_3746_fun	-0.643204031082	0.02
OTU_17	OTU_340	0.665574857905	0.0
OTU_17	OTU_8	0.814202052251	0.0
OTU_17	OTU_180	0.729601846679	0.02
OTU_17	OTU_486	0.747945509328	0.02
OTU_17	OTU_6	0.613267008816	0.03
OTU_17	OTU_58	0.769480499476	0.0
OTU_17	OTU_96	0.780321721788	0.0
OTU_17	OTU_48	0.747099252137	0.01
OTU_17	OTU_51	0.714249950306	0.01
OTU_17	OTU_192	0.732250958786	0.0
OTU_17	OTU_1984	0.731397998907	0.0
OTU_17	OTU_155	0.660582315312	0.0
OTU_17	OTU_160	0.877480103415	0.0
OTU_17	OTU_24	0.635442486094	0.04
OTU_17	OTU_453	0.647932313806	0.01
OTU_17	OTU_153	0.675914805904	0.0
OTU_17	OTU_109	0.769763231974	0.0
OTU_17	OTU_88	-0.637638414504	0.01
OTU_17	OTU_4_fun	-0.872561709048	0.0
OTU_17	OTU_3_fun	-0.727784643522	0.0
OTU_17	OTU_94_fun	-0.748291501221	0.0
OTU_17	OTU_1259_fun	-0.717474598862	0.02
OTU_17	OTU_6_fun	-0.621291973166	0.03
OTU_17	OTU_1022_fun	-0.790081369586	0.0
OTU_17	OTU_3746_fun	-0.604516966632	0.04
OTU_340	OTU_85	0.688530896351	0.0
OTU_340	OTU_8	0.729763988895	0.01
OTU_340	OTU_180	0.788254371777	0.0
OTU_340	OTU_486	0.685241655016	0.0
OTU_340	OTU_6	0.701217594694	0.0
OTU_340	OTU_96	0.82778955298	0.0
OTU_340	OTU_93	0.649715844877	0.0
OTU_340	OTU_51	0.780871566372	0.0
OTU_340	OTU_192	0.800725527065	0.0
OTU_340	OTU_1984	0.73743695111	0.0
OTU_340	OTU_493	0.699986054237	0.0
OTU_340	OTU_163	0.618840128151	0.03
OTU_340	OTU_106	0.728033328358	0.0
OTU_340	OTU_104	0.673684871386	0.02
OTU_340	OTU_453	0.775669822713	0.0
OTU_340	OTU_153	0.718210418515	0.01
OTU_340	OTU_109	0.794130262533	0.0
OTU_340	OTU_4_fun	-0.739458012265	0.0
OTU_340	OTU_3_fun	-0.737306102055	0.0
OTU_340	OTU_94_fun	-0.848894232902	0.0
OTU_340	OTU_69_fun	-0.600725851238	0.03
OTU_340	OTU_1259_fun	-0.757573746849	0.01
OTU_340	OTU_14_fun	-0.611402642089	0.02
OTU_340	OTU_9_fun	-0.612633844509	0.04
OTU_340	OTU_6_fun	-0.716090635743	0.01
OTU_340	OTU_82_fun	-0.64276140516	0.01
OTU_340	OTU_129_fun	-0.690632850664	0.0
OTU_340	OTU_201_fun	-0.744323123665	0.0
OTU_327	OTU_13	-0.600570434937	0.04
OTU_13	OTU_10	0.802479778948	0.0
OTU_13	OTU_99	0.647935597274	0.01
OTU_13	OTU_748	0.725947698543	0.0
OTU_13	OTU_116	0.643475855495	0.01
OTU_13	OTU_1409	0.614264525557	0.0
OTU_13	OTU_954	0.61117887895	0.03
OTU_13	OTU_1_fun	-0.637045052726	0.01
OTU_13	OTU_38_fun	0.61567046367	0.03
OTU_13	OTU_21_fun	-0.690090047395	0.01
OTU_13	OTU_10_fun	-0.64881845049	0.01
OTU_13	OTU_2863_fun	-0.66589278507	0.01
OTU_13	OTU_7_fun	-0.635355292676	0.02
OTU_10	OTU_4	-0.613837915683	0.03
OTU_10	OTU_99	0.642835315395	0.01
OTU_10	OTU_33	0.640337031551	0.03
OTU_10	OTU_112	0.704285554692	0.01
OTU_10	OTU_748	0.783418994584	0.01
OTU_10	OTU_116	0.624468559169	0.0
OTU_10	OTU_155	-0.639625184483	0.01
OTU_10	OTU_190	0.617941209355	0.03
OTU_10	OTU_156	0.651095340634	0.02
OTU_10	OTU_1409	0.627192936069	0.03
OTU_10	OTU_134	0.627431923859	0.01
OTU_10	OTU_67	0.611614141313	0.02
OTU_10	OTU_203	0.638389228057	0.0
OTU_10	OTU_1_fun	-0.656563381418	0.02
OTU_85	OTU_103	-0.606188814604	0.02
OTU_85	OTU_219	0.748152326197	0.0
OTU_85	OTU_453	0.62725074148	0.04
OTU_85	OTU_94_fun	-0.638927882467	0.04
OTU_85	OTU_1259_fun	-0.635835755435	0.01
OTU_85	OTU_232_fun	-0.688785975661	0.0
OTU_85	OTU_201_fun	-0.656082978155	0.01
OTU_4	OTU_1882	0.712329393396	0.0
OTU_4	OTU_82	0.782433605134	0.0
OTU_4	OTU_103	-0.672486670514	0.0
OTU_4	OTU_396	-0.658508537669	0.01
OTU_4	OTU_155	0.691117266493	0.0
OTU_4	OTU_24	0.807530177073	0.0
OTU_4	OTU_286	0.643113951264	0.01
OTU_4	OTU_156	-0.612825812758	0.02
OTU_4	OTU_276	0.640706654931	0.0
OTU_4	OTU_196_fun	-0.64454100398	0.02
OTU_4	OTU_227_fun	-0.641318083823	0.03
OTU_4	OTU_809_fun	-0.645924381643	0.0
OTU_4	OTU_35_fun	-0.634582934978	0.0
OTU_4	OTU_41_fun	-0.649002832077	0.01
OTU_4	OTU_271_fun	-0.612943921806	0.0
OTU_49	OTU_331	0.70710067529	0.0
OTU_49	OTU_256_fun	-0.637281195573	0.0
OTU_312	OTU_34	0.721839632766	0.01
OTU_312	OTU_37	0.652436173623	0.0
OTU_312	OTU_76	0.615016421304	0.02
OTU_312	OTU_672	-0.618598605142	0.02
OTU_312	OTU_1804	0.650984673809	0.01
OTU_312	OTU_464	0.671090312796	0.01
OTU_312	OTU_809_fun	-0.620673302269	0.01
OTU_312	OTU_35_fun	-0.607874343075	0.0
OTU_312	OTU_55_fun	-0.626840566941	0.03
OTU_312	OTU_126_fun	-0.713413701749	0.0
OTU_312	OTU_282_fun	-0.695977956435	0.0
OTU_312	OTU_50_fun	-0.638651510269	0.02
OTU_312	OTU_51_fun	-0.761503968445	0.0
OTU_312	OTU_271_fun	-0.726793415955	0.0
OTU_7	OTU_11	-0.610755945641	0.04
OTU_7	OTU_309	-0.610120421435	0.02
OTU_7	OTU_55_fun	-0.645341918613	0.01
OTU_8	OTU_180	0.73350976668	0.0
OTU_8	OTU_486	0.707872146639	0.0
OTU_8	OTU_6	0.84891818991	0.0
OTU_8	OTU_71	0.643218683746	0.02
OTU_8	OTU_58	0.679842476161	0.01
OTU_8	OTU_1300	0.657059767603	0.03
OTU_8	OTU_20	0.64127106698	0.02
OTU_8	OTU_11	0.781285372972	0.0
OTU_8	OTU_96	0.738114253763	0.0
OTU_8	OTU_48	0.790191482086	0.0
OTU_8	OTU_93	0.715518036428	0.0
OTU_8	OTU_51	0.718056306585	0.01
OTU_8	OTU_192	0.770514355679	0.01
OTU_8	OTU_1984	0.696509696025	0.01
OTU_8	OTU_59	0.618465341209	0.02
OTU_8	OTU_163	0.678409597369	0.0
OTU_8	OTU_160	0.812844265229	0.0
OTU_8	OTU_106	0.685298675852	0.01
OTU_8	OTU_72	0.629788993348	0.01
OTU_8	OTU_453	0.732934456836	0.01
OTU_8	OTU_425	-0.611277325956	0.0
OTU_8	OTU_153	0.74768019037	0.0
OTU_8	OTU_109	0.753611708871	0.0
OTU_8	OTU_83_fun	-0.625675662477	0.01
OTU_8	OTU_76_fun	-0.643403188382	0.0
OTU_8	OTU_213_fun	-0.644951261198	0.02
OTU_8	OTU_4_fun	-0.881772851145	0.0
OTU_8	OTU_3_fun	-0.838368538569	0.0
OTU_8	OTU_10_fun	-0.767431117384	0.0
OTU_8	OTU_94_fun	-0.721056606334	0.0
OTU_8	OTU_2863_fun	-0.789129855398	0.01
OTU_8	OTU_1259_fun	-0.701817517684	0.03
OTU_8	OTU_14_fun	-0.791149104985	0.01
OTU_8	OTU_7_fun	-0.621725759886	0.01
OTU_8	OTU_111_fun	-0.633848845929	0.03
OTU_8	OTU_6_fun	-0.849227351168	0.0
OTU_8	OTU_1022_fun	-0.698216934694	0.0
OTU_8	OTU_129_fun	-0.656270878501	0.01
OTU_34	OTU_33	0.621257864968	0.04
OTU_34	OTU_30	0.671852524415	0.01
OTU_34	OTU_112	0.686245888378	0.01
OTU_34	OTU_37	0.613546143169	0.03
OTU_34	OTU_162	0.612562144824	0.03
OTU_34	OTU_190	0.631246126532	0.0
OTU_34	OTU_256_fun	-0.687949258477	0.01
OTU_34	OTU_2_fun	-0.69870658975	0.0
OTU_34	OTU_51_fun	-0.731219041253	0.0
OTU_34	OTU_201_fun	-0.607363485184	0.0
OTU_180	OTU_486	0.819579996051	0.0
OTU_180	OTU_6	0.674319557079	0.01
OTU_180	OTU_71	0.681518035179	0.0
OTU_180	OTU_1300	0.694267982694	0.01
OTU_180	OTU_11	0.638436722194	0.02
OTU_180	OTU_96	0.904164239607	0.0
OTU_180	OTU_48	0.782634621932	0.01
OTU_180	OTU_93	0.71310344697	0.0
OTU_180	OTU_51	0.95054505436	0.0
OTU_180	OTU_192	0.840074657602	0.0
OTU_180	OTU_1984	0.810915699172	0.0
OTU_180	OTU_493	0.618832766239	0.02
OTU_180	OTU_106	0.748759502756	0.0
OTU_180	OTU_104	0.677065955724	0.01
OTU_180	OTU_378	0.689015878997	0.0
OTU_180	OTU_453	0.702407470384	0.0
OTU_180	OTU_153	0.82412700357	0.0
OTU_180	OTU_168	0.637911489176	0.02
OTU_180	OTU_276	0.651656887152	0.01
OTU_180	OTU_109	0.86011757647	0.0
OTU_180	OTU_11_fun	-0.728979777513	0.0
OTU_180	OTU_4_fun	-0.863787347227	0.0
OTU_180	OTU_3_fun	-0.700377960573	0.0
OTU_180	OTU_41_fun	-0.635295110003	0.03
OTU_180	OTU_94_fun	-0.741763152152	0.01
OTU_180	OTU_69_fun	-0.655277000003	0.02
OTU_180	OTU_1259_fun	-0.809891014352	0.0
OTU_180	OTU_9_fun	-0.716095008962	0.0
OTU_180	OTU_6_fun	-0.666749119976	0.01
OTU_180	OTU_1022_fun	-0.699013562242	0.0
OTU_180	OTU_129_fun	-0.661619425618	0.01
OTU_180	OTU_201_fun	-0.61997429761	0.03
OTU_486	OTU_6	0.668508161674	0.0
OTU_486	OTU_71	0.792080087834	0.0
OTU_486	OTU_96	0.796478929997	0.0
OTU_486	OTU_48	0.831574714469	0.0
OTU_486	OTU_93	0.667590578005	0.0
OTU_486	OTU_51	0.839343168292	0.0
OTU_486	OTU_192	0.814091837748	0.0
OTU_486	OTU_1984	0.696292339099	0.03
OTU_486	OTU_453	0.729927162219	0.0
OTU_486	OTU_153	0.75147674427	0.0
OTU_486	OTU_276	0.61123886454	0.01
OTU_486	OTU_109	0.853992138526	0.0
OTU_486	OTU_57_fun	0.685782966141	0.0
OTU_486	OTU_2753_fun	0.740131999766	0.0
OTU_486	OTU_11_fun	-0.624080953148	0.02
OTU_486	OTU_4_fun	-0.807075880462	0.0
OTU_486	OTU_3_fun	-0.678127382189	0.01
OTU_486	OTU_94_fun	-0.671965886578	0.01
OTU_486	OTU_69_fun	-0.621314502946	0.01
OTU_486	OTU_1259_fun	-0.64528778019	0.0
OTU_486	OTU_14_fun	-0.620496115372	0.01
OTU_486	OTU_9_fun	-0.657995083313	0.04
OTU_486	OTU_6_fun	-0.62471024171	0.02
OTU_486	OTU_1022_fun	-0.748244249214	0.0
OTU_486	OTU_129_fun	-0.659879229602	0.0
OTU_6	OTU_99	0.662162045926	0.01
OTU_6	OTU_1300	0.698001897039	0.01
OTU_6	OTU_11	0.808960346538	0.0
OTU_6	OTU_96	0.674013675597	0.0
OTU_6	OTU_48	0.739829405524	0.0
OTU_6	OTU_435	0.607907710204	0.03
OTU_6	OTU_93	0.748053529983	0.0
OTU_6	OTU_51	0.704038154958	0.01
OTU_6	OTU_192	0.701433397592	0.0
OTU_6	OTU_163	0.669066568753	0.01
OTU_6	OTU_106	0.741492562763	0.0
OTU_6	OTU_954	0.724330605037	0.0
OTU_6	OTU_453	0.653497652633	0.01
OTU_6	OTU_425	-0.701716901038	0.0
OTU_6	OTU_153	0.713856722087	0.02
OTU_6	OTU_21_fun	-0.655938861484	0.01
OTU_6	OTU_83_fun	-0.748178528114	0.01
OTU_6	OTU_76_fun	-0.812210249094	0.0
OTU_6	OTU_145_fun	-0.672497081846	0.02
OTU_6	OTU_4_fun	-0.762634699319	0.01
OTU_6	OTU_3_fun	-0.822401808317	0.0
OTU_6	OTU_10_fun	-0.877161146238	0.0
OTU_6	OTU_94_fun	-0.739215181237	0.01
OTU_6	OTU_2863_fun	-0.775388490296	0.0
OTU_6	OTU_1259_fun	-0.634513891555	0.02
OTU_6	OTU_14_fun	-0.877821379721	0.0
OTU_6	OTU_7_fun	-0.683792047665	0.0
OTU_6	OTU_6_fun	-0.802281698895	0.0
OTU_6	OTU_1022_fun	-0.69781647701	0.02
OTU_1882	OTU_82	0.671300473731	0.0
OTU_1882	OTU_396	-0.754922507849	0.0
OTU_1882	OTU_24	0.672853861549	0.02
OTU_1882	OTU_72	-0.631985116112	0.01
OTU_1882	OTU_2373	-0.603955301457	0.03
OTU_1882	OTU_1375	0.679466038531	0.0
OTU_1	OTU_20	0.667673766285	0.02
OTU_1	OTU_122	0.708379789384	0.01
OTU_1	OTU_4090	0.629451329657	0.01
OTU_1	OTU_4_oo	-0.628074835137	0.03
OTU_71	OTU_20	0.698474617495	0.01
OTU_71	OTU_96	0.645735397675	0.01
OTU_71	OTU_48	0.803916708963	0.0
OTU_71	OTU_51	0.716483633274	0.01
OTU_71	OTU_192	0.684646191003	0.02
OTU_71	OTU_1984	0.716382440069	0.01
OTU_71	OTU_689	0.671542364121	0.0
OTU_71	OTU_453	0.713058453853	0.01
OTU_71	OTU_276	0.621707156479	0.01
OTU_71	OTU_109	0.772002616649	0.0
OTU_71	OTU_196	0.633218087726	0.02
OTU_71	OTU_57_fun	0.664565474566	0.0
