Condition	Relative_to_MF	Experiment
MF	2.097018457	BIO1
MF	0.929247515	BIO1
MF	0.849739707	BIO1
MF	0.412446758	BIO1
MF	0.501893043	BIO1
MF	1.0186938	BIO1
MF	1.202555608	BIO1
MF	1.301940369	BIO1
MF	0.79010885	BIO1
MF	0.631093232	BIO1
MF	2.256034075	BIO1
MF	0.914339801	BIO1
MF	0.20373876	BIO1
MF	0.372692854	BIO1
MF	1.336725035	BIO1
MF	1.128017037	BIO1
MF	1.306909607	BIO1
MF	0.929247515	BIO1
MF	1.212494084	BIO1
MF	0.939185991	BIO1
MF	0.665877899	BIO1
MF	1.00934237	BIO2
MF	1.588386151	BIO2
MF	1.211210844	BIO2
MF	0.504671185	BIO2
MF	1.375893021	BIO2
MF	0.802161568	BIO2
MF	0.201868474	BIO2
MF	1.83806558	BIO2
MF	1.089027294	BIO2
MF	1.694632717	BIO2
MF	0.966843744	BIO2
MF	0.4887342	BIO2
MF	2.443671002	BIO2
MF	1.019967027	BIO2
MF	0.908408133	BIO2
MF	0.414361605	BIO2
MF	1.322769738	BIO2
MF	1.147462905	BIO2
MF	0.950906759	BIO2
MF	0.775599927	BIO2
MF	0.430298589	BIO2
MF	1.92837516	BIO2
MF	0.908408133	BIO2
MF	0.834035538	BIO2
MF	1.699945045	BIO2
MF	0.127495878	BIO2
MF	0.334676681	BIO2
MF	0.685290346	BIO2
MF	0.297490383	BIO2
MF	0.934530095	BIO3
MF	1.209081309	BIO3
MF	1.114044351	BIO3
MF	1.710665259	BIO3
MF	0.765575502	BIO3
MF	0.55438226	BIO3
MF	1.077085533	BIO3
MF	2.185850053	BIO3
MF	1.071805702	BIO3
MF	1.557550158	BIO3
MF	0.269271383	BIO3
MF	0.116156283	BIO3
MF	0.263991552	BIO3
MF	1.045406547	BIO3
MF	0.322069694	BIO3
MF	1.652587117	BIO3
MF	1.41499472	BIO3
MF	0.337909187	BIO3
MF	1.710665259	BIO3
MF	0.686378036	BIO3
MF	1.232371036	BIO3
MF	0.258400379	BIO3
MF	3.205158542	BIO3
MF	1.048509229	BIO3
MF	2.653573119	BIO3
MF	3.692143871	BIO3
MF	2.39517274	BIO3
MF	1.187647894	BIO3
MF	1.177709418	BIO3
MF	1.465925225	BIO3
MF	0.084477047	BIO3
B	1.232371036	BIO1
B	0.258400379	BIO1
B	3.205158542	BIO1
B	1.048509229	BIO1
B	2.653573119	BIO1
B	3.692143871	BIO1
B	2.39517274	BIO1
B	1.187647894	BIO1
B	1.177709418	BIO1
B	1.465925225	BIO1
B	0.084477047	BIO1
B	3.304268181	BIO2
B	1.40776699	BIO2
B	3.596446236	BIO2
B	0.849972522	BIO2
B	0.839347866	BIO2
B	0.2443671	BIO2
B	1.429016303	BIO2
B	1.025279355	BIO2
B	3.208646272	BIO2
B	0.653416377	BIO2
B	1.668071075	BIO2
B	1.970873786	BIO2
B	1.80619161	BIO2
B	1.689320388	BIO2
B	0.972156073	BIO2
B	1.264334127	BIO2
B	3.309580509	BIO2
B	8.287232094	BIO2
B	0.191243818	BIO2
B	6.499472017	BIO3
B	2.117212249	BIO3
B	6.800422386	BIO3
B	4.160506864	BIO3
B	1.520591341	BIO3
B	3.289334741	BIO3
B	1.277719113	BIO3
B	1.293558606	BIO3
B	0.469904963	BIO3
B	0.696937698	BIO3
B	0.802534319	BIO3
F	0.00E+00	BIO1
F	0.00E+00	BIO2
F	0.00E+00	BIO3
O	0.243492664	BIO1
O	1.22243256	BIO1
O	0.650970185	BIO1
O	0.323000473	BIO1
O	1.219640971	BIO3
BO	2.072172267	BIO1
BO	1.088263133	BIO1
BO	1.55537151	BIO1
BO	0.889493611	BIO1
BO	1.455986749	BIO1
BO	1.744202556	BIO1
BO	0.427354472	BIO1
BO	1.003786086	BIO1
BO	0.914339801	BIO1
BO	1.778987222	BIO1
BO	0.183861808	BIO1
BO	0.655939423	BIO1
BO	0.949124468	BIO1
BO	2.390203502	BIO1
BO	0.38263133	BIO1
BO	0.218646474	BIO1
BO	0.660908661	BIO1
BO	0.367723616	BIO1
BO	3.170373876	BIO1
BO	0.998816848	BIO1
BO	1.878371983	BIO1
BO	2.842404165	BIO1
BO	2.097018457	BIO1
BO	1.008755324	BIO1
BO	4.329547536	BIO2
BO	2.406484704	BIO2
BO	2.666788789	BIO2
BO	3.043964096	BIO2
BO	0.610917751	BIO2
BO	0.897783477	BIO2
BO	0.807473896	BIO2
BO	2.140868291	BIO2
BO	0.254991757	BIO2
BO	0.786224583	BIO2
BO	0.658728705	BIO2
BO	0.515295842	BIO2
BO	2.808870116	BIO3
BO	5.158394931	BIO3
BO	2.148891235	BIO3
BO	1.034846885	BIO3
BO	4.250263992	BIO3
BO	0.316789863	BIO3
BO	3.115100317	BIO3
BO	1.531151003	BIO3
BO	0.760295671	BIO3
BO	1.652587117	BIO3
BO	1.209081309	BIO3
BO	2.053854277	BIO3
BO	1.293558606	BIO3
BO	1.066525871	BIO3
BO	0.897571278	BIO3
BO	2.756071806	BIO3
BF	0.775201136	BIO1
BF	1.321817321	BIO1
BF	0.546616186	BIO1
BF	0.889493611	BIO1
BF	2.479649787	BIO1
BF	0.477046853	BIO1
BF	1.615002366	BIO1
BF	0.188831046	BIO1
BF	0.973970658	BIO1
BF	0.5615239	BIO1
BF	1.346663512	BIO1
BF	4.184098438	BIO1
BF	1.311878845	BIO1
BF	0.685754851	BIO1
BF	0.939185991	BIO1
BF	1.634879319	BIO1
BF	0.879555135	BIO1
BF	1.17274018	BIO1
BF	0.442262186	BIO1
BF	8.219119735	BIO1
BF	1.321817321	BIO1
BF	1.923062832	BIO2
BF	1.189961531	BIO2
BF	3.585821579	BIO2
BF	2.183366917	BIO2
BF	1.418391647	BIO2
BF	6.688221286	BIO2
BF	2.555229896	BIO2
BF	2.385235391	BIO2
BF	1.625572449	BIO2
BF	0.594980766	BIO2
BF	0.143432863	BIO2
BF	0.148745191	BIO2
BF	1.52995054	BIO2
BF	4.355860612	BIO2
BF	3.58500528	BIO2
BF	3.299894403	BIO3
BF	6.689545935	BIO3
BF	3.996832101	BIO3
BF	0.369588173	BIO3
BF	3.690601901	BIO3
BF	2.296726505	BIO3
BF	0.179514256	BIO3
BF	1.00E-22	BIO3
BF	1.00E-22	BIO3
FO	0.00E+00	BIO1
FO	0.00E+00	BIO2
FO	0.00E+00	BIO3
ALL	1.47E+00	BIO1
ALL	2.39E-01	BIO1
ALL	2.106956933	BIO1
ALL	1.505679129	BIO1
ALL	0.372692854	BIO1
ALL	5.336961666	BIO1
ALL	1.167770942	BIO1
ALL	2.022479886	BIO1
ALL	0.323000473	BIO1
ALL	1.878371983	BIO1
ALL	0.183861808	BIO1
ALL	3.319451018	BIO1
ALL	4.16486536	BIO2
ALL	3.15552299	BIO2
ALL	5.737314526	BIO2
ALL	3.240520242	BIO2
ALL	0.201868474	BIO2
ALL	2.252427184	BIO2
ALL	2.390547719	BIO2
ALL	2.682725774	BIO2
ALL	1.657446419	BIO2
ALL	0.308115039	BIO2
ALL	4.759846126	BIO2
ALL	0.239054772	BIO2
ALL	5.755015839	BIO3
ALL	1.219640971	BIO3
ALL	7.851108765	BIO3
ALL	1.140443506	BIO3
ALL	5.116156283	BIO3
ALL	4.181626188	BIO3
ALL	1.66842661	BIO3
ALL	3.885955649	BIO3
