Sample	observed_species	Community	Fraction	Experiment
FP3.FO.MATRIX.1.ITS1.Om	3	FO	Matrix	BIO1
FP3.FO.MATRIX.2.ITS1.Om	5	FO	Matrix	BIO1
FP3.INPUT.OOMYCETES.1.ITS1.Om	6	Input	Input	BIO1
FP3.INPUT.OOMYCETES.2.ITS1.Om	5	Input	Input	BIO1
FP3.INPUT.OOMYCETES.3.ITS1.Om	5	Input	Input	BIO1
FP3.OOMYCETES.MATRIX.2.ITS1.Om	6	O	Matrix	BIO1
FP3.OOMYCETES.MATRIX.3.ITS1.Om	5	O	Matrix	BIO1
FP4.ALL.MATRIX.3.ITS1.Om	5	ALL	Matrix	BIO2
FP4.AWP.MATRIX.1.ITS1.Om	4	AWP	Matrix	BIO2
FP4.AWP.MATRIX.2.ITS1.Om	5	AWP	Matrix	BIO2
FP4.BO.MATRIX1.ITS1.Om	2	BO	Matrix	BIO2
FP4.BO.MATRIX3.ITS1.Om	4	BO	Matrix	BIO2
FP4.FO.MATRIX.1.ITS1.Om	5	FO	Matrix	BIO2
FP4.FO.MATRIX.2.ITS1.Om	6	FO	Matrix	BIO2
FP4.FO.MATRIX.3.ITS1.Om	6	FO	Matrix	BIO2
FP4.INPUT.OOMYCETES.1.ITS1.Om	6	Input	Input	BIO2
FP4.INPUT.OOMYCETES.2.ITS1.Om	5	Input	Input	BIO2
FP4.INPUT.OOMYCETES.3.ITS1.Om	5	Input	Input	BIO2
FP4.OOMYCETES.MATRIX.1.ITS1.Om	6	O	Matrix	BIO2
FP4.OOMYCETES.MATRIX.2.ITS1.Om	6	O	Matrix	BIO2
FP4.OOMYCETES.MATRIX.3.ITS1.Om	4	O	Matrix	BIO2
FP5.ALL.MATRIX.1.ITS1.Om	4	ALL	Matrix	BIO3
FP5.ALL.MATRIX.2.ITS1.Om	3	ALL	Matrix	BIO3
FP5.ALL.MATRIX.3.ITS1.Om	2	ALL	Matrix	BIO3
FP5.AWP.MATRIX.2.ITS1.Om	4	AWP	Matrix	BIO3
FP5.AWP.MATRIX.3.ITS1.Om	5	AWP	Matrix	BIO3
FP5.BO.MATRIX1.ITS1.Om	5	BO	Matrix	BIO3
FP5.BO.MATRIX2.ITS1.Om	4	BO	Matrix	BIO3
FP5.BO.MATRIX3.ITS1.Om	3	BO	Matrix	BIO3
FP5.FO.MATRIX.1.ITS1.Om	3	FO	Matrix	BIO3
FP5.FO.MATRIX.2.ITS1.Om	5	FO	Matrix	BIO3
FP5.FO.MATRIX.3.ITS1.Om	5	FO	Matrix	BIO3
FP5.INPUT.OOMYCETES.1.ITS1.Om	5	Input	Input	BIO3
FP5.INPUT.OOMYCETES.2.ITS1.Om	6	Input	Input	BIO3
FP5.INPUT.OOMYCETES.3.ITS1.Om	4	Input	Input	BIO3
FP5.OOMYCETES.MATRIX.1.ITS1.Om	6	O	Matrix	BIO3
FP5.OOMYCETES.MATRIX.2.ITS1.Om	6	O	Matrix	BIO3
FP5.OOMYCETES.MATRIX.3.ITS1.Om	6	O	Matrix	BIO3
