Condition	Freshweight	Relative_to_MF	Normalized_to_bacteria	Experiment
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
Fungi	0	0	0	BIO1
BF	0.0142	0.860084797	0.544442427	BIO1
BF	0.0441	2.671108419	1.690838804	BIO1
BF	0.0563	3.410054512	2.158599199	BIO1
BF	0.0164	0.993337371	0.628792662	BIO1
BF	0.0446	2.701393095	1.710009312	BIO1
BF	0.021	1.27195639	0.805161335	BIO1
BF	0.0206	1.247728649	0.789824929	BIO1
BF	0.03	1.817080557	1.150230479	BIO1
BF	0.0125	0.757116899	0.4792627	BIO1
BF	0.047	2.84675954	1.802027751	BIO1
BF	0.0331	2.004845548	1.269087629	BIO1
BF	0.0477	2.889158086	1.828866462	BIO1
BF	0.0199	1.205330103	0.762986218	BIO1
BF	0.0197	1.193216233	0.755318015	BIO1
BF	0.0095	0.575408843	0.364239652	BIO1
BF	0.0278	1.683827983	1.065880244	BIO1
BF	0.018	1.090248334	0.690138287	BIO1
BF	0.0513	3.107207753	1.966894119	BIO1
BF	0.0131	0.79345851	0.502267309	BIO1
BF-Comm	0.0164	0.993337371	0.672170978	BIO1
BF-Comm	0.0685	4.149000606	2.807543417	BIO1
BF-Comm	0.0201	1.217443973	0.823819309	BIO1
BF-Comm	0.0088	0.533010297	0.360677111	BIO1
BF-Comm	0.0256	1.550575409	1.049242503	BIO1
BF-Comm	0.0084	0.508782556	0.344282696	BIO1
