Condition	Relative_to_MF	Normalized_to_Bacteria
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Rhizobacter_29	0	0
Pseudomonas_9	1.34500427	0.865236052
Pseudomonas_9	1.473099915	0.947639485
Pseudomonas_9	1.078138343	0.693562232
Pseudomonas_9	2.07087959	1.332188841
Pseudomonas_9	1.761315115	1.13304721
Pseudomonas_9	1.16353544	0.748497854
Pseudomonas_9	1.056789069	0.679828326
Pseudomonas_9	1.238257899	0.796566524
Pseudomonas_9	1.793339026	1.153648069
Pseudomonas_9	0.72587532	0.46695279
Pseudomonas_9	1.782664389	1.146781116
Pseudomonas_9	0.661827498	0.425751073
Pseudomonas_9	0.106746371	0.068669528
Pseudomonas_9	0.160119556	0.103004292
Pseudomonas_9	0.352263023	0.226609442
Pseudomonas_9	0.320239112	0.206008584
Rhizobacter_1221	1.08881298	0.693877551
Rhizobacter_1221	1.622544833	1.034013605
Rhizobacter_1221	1.014090521	0.646258503
Rhizobacter_1221	1.494449189	0.952380952
Rhizobacter_1221	0.469684031	0.299319728
Rhizobacter_1221	0.426985482	0.272108844
Rhizobacter_1221	0.90734415	0.578231293
Rhizobacter_1221	0.843296328	0.537414966
Rhizobacter_1221	0.939368061	0.598639456
Rhizobacter_1221	0.43766012	0.278911565
Rhizobacter_1221	0.405636208	0.258503401
Rhizobacter_1221	0.096071734	0.06122449
Rhizobacter_1221	0.224167378	0.142857143
Rhizobacter_1221	0.416310845	0.265306122
Rhizobacter_1221	0	0
Rhizobacter_1221	0	0
Pelomonas_1217	0.715200683	0.679340938
Pelomonas_1217	0.106746371	0.10139417
Pelomonas_1217	0.096071734	0.091254753
Pelomonas_1217	0.117421008	0.111533587
Pelomonas_1217	0.096071734	0.091254753
Pelomonas_1217	0.032023911	0.030418251
Pelomonas_1217	0.074722459	0.070975919
Pelomonas_1217	0.042698548	0.040557668
Pelomonas_1217	0.032023911	0.030418251
Pelomonas_1217	0.096071734	0.091254753
Pelomonas_1217	0.042698548	0.040557668
Pelomonas_1217	0	0
Pelomonas_1217	0	0
Pelomonas_1217	0	0
Pelomonas_1217	0	0
Pelomonas_1217	0	0
Variovorax_434	0.36293766	0.361153263
Variovorax_434	0.288215201	0.286798179
Variovorax_434	0.320239112	0.318664643
Variovorax_434	0.405636208	0.403641882
Variovorax_434	0.160119556	0.159332322
Variovorax_434	0.18146883	0.180576631
Variovorax_434	0.277540564	0.276176024
Variovorax_434	0.106746371	0.106221548
Variovorax_434	0.245516652	0.24430956
Variovorax_434	0.149444919	0.148710167
Variovorax_434	0.085397096	0.084977238
Variovorax_434	0.138770282	0.138088012
Variovorax_434	0.021349274	0.02124431
Variovorax_434	0	0
Variovorax_434	0	0
Variovorax_434	0	0
Pseudomonas_329	0.053373185	0.04789272
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_329	0	0
Pseudomonas_401	1.184884714	0.531524342
Pseudomonas_401	0.309564475	0.13886672
Pseudomonas_401	0.629803587	0.282521947
Pseudomonas_401	0.469684031	0.210694334
Pseudomonas_401	0.320239112	0.143655227
Pseudomonas_401	0.747224594	0.335195531
Pseudomonas_401	0.18146883	0.081404629
Pseudomonas_401	0.939368061	0.421388667
Pseudomonas_401	0.170794193	0.076616121
Pseudomonas_401	0.288215201	0.129289705
Pseudomonas_401	0.032023911	0.014365523
Pseudomonas_401	0.064047822	0.028731045
Pseudomonas_401	0.18146883	0.081404629
Pseudomonas_401	0.128095645	0.057462091
Pseudomonas_401	0	0
Pseudomonas_401	0	0
Pseudomonas_71	0.576430401	0.513307985
Pseudomonas_71	0.523057216	0.465779468
Pseudomonas_71	0.277540564	0.247148289
Pseudomonas_71	0.341588386	0.30418251
Pseudomonas_71	0.106746371	0.095057034
Pseudomonas_71	0.149444919	0.133079848
Pseudomonas_71	0.106746371	0.095057034
Pseudomonas_71	0.032023911	0.02851711
Pseudomonas_71	0	0
Pseudomonas_71	0	0
Pseudomonas_71	0	0
Pseudomonas_71	0	0
Pseudomonas_71	0	0
Pseudomonas_71	0	0
Pseudomonas_71	0	0
Pseudomonas_71	0	0
Rhizobacter_404	0.469684031	0.358087487
Rhizobacter_404	0.170794193	0.130213632
Rhizobacter_404	0.096071734	0.073245168
Rhizobacter_404	0.149444919	0.113936928
Rhizobacter_404	0.053373185	0.04069176
Rhizobacter_404	0.032023911	0.024415056
Rhizobacter_404	0	0
Rhizobacter_404	0	0
Rhizobacter_404	0	0
Rhizobacter_404	0	0
Rhizobacter_404	0	0
Rhizobacter_404	0	0
Rhizobacter_404	0	0
Rhizobacter_404	0	0
Rhizobacter_404	0	0
Rhizobacter_404	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Rhizobacter_16D2	0	0
Variovorax_318D1	0.54440649	0.693353474
Variovorax_318D1	0.811272417	1.033232628
Variovorax_318D1	0.373612297	0.475830816
Variovorax_318D1	0.256191289	0.326283988
Variovorax_318D1	0.672502135	0.856495468
Variovorax_318D1	0.832621691	1.060422961
Variovorax_318D1	0.587105038	0.747734139
Variovorax_318D1	0.010674637	0.013595166
Variovorax_318D1	0.096071734	0.122356495
Variovorax_318D1	0	0
Variovorax_318D1	0	0
Variovorax_318D1	0	0
Variovorax_318D1	0	0
Variovorax_318D1	0	0
Variovorax_318D1	0	0
Variovorax_318D1	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Acidovorax_402	0	0
Variovorax_411	5.230572161	2.992366412
Variovorax_411	0.491033305	0.280916031
Variovorax_411	1.45175064	0.830534351
Variovorax_411	0.042698548	0.024427481
Variovorax_411	0.149444919	0.085496183
Variovorax_411	0.426985482	0.244274809
Variovorax_411	0.085397096	0.048854962
Variovorax_411	0.064047822	0.036641221
Variovorax_411	0.138770282	0.079389313
Variovorax_411	0.021349274	0.01221374
Variovorax_411	0.021349274	0.01221374
Variovorax_411	0	0
Variovorax_411	0	0
Variovorax_411	0	0
Variovorax_411	0	0
Variovorax_411	0	0
Pseudomonas_569	0.053373185	0.031293463
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_569	0	0
Pseudomonas_68	3.640051238	2.883166795
Pseudomonas_68	1.761315115	1.395080707
Pseudomonas_68	0.661827498	0.524212145
Pseudomonas_68	3.629376601	2.87471176
Pseudomonas_68	1.932109308	1.530361261
Pseudomonas_68	2.497865073	1.978478094
Pseudomonas_68	1.739965841	1.378170638
Pseudomonas_68	0.960717336	0.760953113
Pseudomonas_68	0.736549957	0.583397387
Pseudomonas_68	0.864645602	0.684857802
Pseudomonas_68	1.046114432	0.82859339
Pseudomonas_68	0	0
Pseudomonas_68	0	0
Pseudomonas_68	0	0
Pseudomonas_68	0	0
Pseudomonas_68	0	0
Knoellia_729	0.234842015	0.252873563
Knoellia_729	0.202818104	0.218390805
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Knoellia_729	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_275	0	0
Acidovorax_70	0.074722459	0.042073629
Acidovorax_70	0.032023911	0.018031555
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Acidovorax_70	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Tetrasphaera_756	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Acidovorax_217	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
Fungi	0	0
MF	0.0101	0.0101
MF	0.0191	0.0191
MF	0.0123	0.0123
MF	0.0218	0.0218
MF	0.0085	0.0085
MF	0.0092	0.0092
MF	0.0039	0.0039
MF	0.0113	0.0113
MF	0.0158	0.0158
MF	0.0147	0.0147
MF	0.0037	0.0037
MF	0.0088	0.0088
MF	0.0053	0.0053
MF	0.0186	0.0186
MF	0.0064	0.0064
MF	0.0115	0.0115
MF	0.0055	0.0055
MF	0.0046	0.0046
MF	0.003	0.003
MF	0.0153	0.0153
MF	0.0086	0.0086
MF	0.0073	0.0073
MF	0.0042	0.0042
MF	0.0017	0.0017
MF	0.003	0.003
