Condition	Freshweight	Normalized	Normalized_to_bacteria	Experiment
BF	0.0142	0.860084797	0.544442427	FP15
BF	0.0441	2.671108419	1.690838804	FP15
BF	0.0563	3.410054512	2.158599199	FP15
BF	0.0164	0.993337371	0.628792662	FP15
BF	0.0446	2.701393095	1.710009312	FP15
BF	0.021	1.27195639	0.805161335	FP15
BF	0.0206	1.247728649	0.789824929	FP15
BF	0.03	1.817080557	1.150230479	FP15
BF	0.0125	0.757116899	0.4792627	FP15
BF	0.047	2.84675954	1.802027751	FP15
BF	0.0331	2.004845548	1.269087629	FP15
BF	0.0477	2.889158086	1.828866462	FP15
BF	0.0199	1.205330103	0.762986218	FP15
BF	0.0197	1.193216233	0.755318015	FP15
BF	0.0095	0.575408843	0.364239652	FP15
BF	0.0278	1.683827983	1.065880244	FP15
BF	0.018	1.090248334	0.690138287	FP15
BF	0.0513	3.107207753	1.966894119	FP15
BF	0.0131	0.79345851	0.502267309	FP15
BF-Comm	0.0164	0.993337371	0.672170978	FP15
BF-Comm	0.0685	4.149000606	2.807543417	FP15
BF-Comm	0.0201	1.217443973	0.823819309	FP15
BF-Comm	0.0088	0.533010297	0.360677111	FP15
BF-Comm	0.0256	1.550575409	1.049242503	FP15
BF-Comm	0.0084	0.508782556	0.344282696	FP15
BF-Comm	0.0333	2.016959419	1.364834975	FP15
BF-Comm	0.0269	1.629315566	1.102524349	FP15
BF-Comm	0.0082	0.496668686	0.33608549	FP15
BF-Comm	0.0331	2.004845548	1.356637768	FP15
BF-Comm	0.0224	1.356753483	0.918087191	FP15
BF-Comm	0.0115	0.696547547	0.471339406	FP15
BF-Comm	0.0192	1.162931557	0.786931878	FP15
BF-Comm	0.0322	1.950333131	1.319750336	FP15
BF-Comm	0.0103	0.623864325	0.422156164	FP15
BF-Comm	0.0241	1.459721381	0.98776345	FP15
BF-Comm	0.0186	1.126589945	0.762340256	FP15
BF-Comm	0.0124	0.751059964	0.508226838	FP15
BF-Comm	0.0217	1.314354936	0.889396965	FP15
BF-Comm	0.0189	1.144760751	0.774636067	FP15
BF-Comm	0.0155	0.938824955	0.594833102	FP15
BF-Pseudo	0.0264	1.59903089	1.013135089	FP15
BF-Pseudo	0.0239	1.447607511	0.917194266	FP15
BF-Pseudo	0.0178	1.078134464	0.683098658	FP15
BF-Pseudo	0.0156	0.94488189	0.598670734	FP15
BF-Pseudo	0.0149	0.902483343	0.571807304	FP15
BF-Pseudo	0.0341	2.0654149	1.308632823	FP15
BF-Pseudo	0.02	1.211387038	0.767526582	FP15
BF-Pseudo	0.0117	0.708661417	0.44900305	FP15
BF-Pseudo	0.0157	0.950938825	0.602508367	FP15
BF-Pseudo	0.0207	1.253785584	0.794390012	FP15
BF-Pseudo	0.0169	1.023622047	0.648559962	FP15
BF-Pseudo	0.0066	0.399757723	0.253283772	FP15
BF-Pseudo	0.0129	0.78134464	0.495054646	FP15
BF-Pseudo	0.0275	1.665657177	1.05534905	FP15
BF-Pseudo	0.0292	1.768625076	1.12058881	FP15
BF-Pseudo	0.0115	0.696547547	0.441327785	FP15
BF-Pseudo	0.0085	0.514839491	0.326198797	FP15
BF-Pseudo	0.0178	1.078134464	0.683098658	FP15
BF-Pseudo	0.0301	1.823137492	1.155127506	FP15
BF-Pseudo	0.0165	0.999394306	0.63320943	FP15
BF-Comm-Pseudo	0.0244	1.477892187	1.002754881	FP15
BF-Comm-Pseudo	0.0233	1.411265899	0.957548718	FP15
BF-Comm-Pseudo	0.0428	2.592368262	1.758930693	FP15
BF-Comm-Pseudo	0.0291	1.762568141	1.195908485	FP15
BF-Comm-Pseudo	0.0079	0.47849788	0.324662441	FP15
BF-Comm-Pseudo	0.0361	2.186553604	1.483584066	FP15
BF-Comm-Pseudo	0.0214	1.296184131	0.879465347	FP15
BF-Comm-Pseudo	0.0121	0.732889158	0.497267789	FP15
BF-Comm-Pseudo	0.0272	1.647486372	1.117825113	FP15
BF-Comm-Pseudo	0.0227	1.374924288	0.932890811	FP15
BF-Comm-Pseudo	0.0315	1.907934585	1.294540113	FP15
BF-Comm-Pseudo	0.0287	1.7383404	1.179469881	FP15
BF-Comm-Pseudo	0.0081	0.49061175	0.332881743	FP15
BF-Comm-Pseudo	0.0249	1.508176863	1.023303137	FP15
BF-Comm-Pseudo	0.0128	0.775287704	0.526035347	FP15
BF-Comm-Pseudo	0.0204	1.235614779	0.838368835	FP15
BF-Comm-Pseudo	0.0148	0.896426408	0.60822837	FP15
BF-Comm-Pseudo	0.0086	0.520896426	0.353429999	FP15
BF-Comm-Pseudo	0.0173	1.047849788	0.710969649	FP15
BF-Comm-Pseudo	0.0284	1.720169594	1.167140927	FP15
BF	0.0318	2.31441048	1.46504538	FP17
BF	0.0167	1.215429403	0.769379178	FP17
BF	0.0141	1.026200873	0.649595593	FP17
BF	0.0175	1.273653566	0.806235665	FP17
BF	0.0368	2.678311499	1.695398427	FP17
BF	0.011	0.800582242	0.506776704	FP17
BF	0.0173	1.259097525	0.797021543	FP17
BF	0.0138	1.004366812	0.63577441	FP17
BF	0.0586	4.264919942	2.699737713	FP17
BF	0.0207	1.506550218	0.953661615	FP17
BF	0.0055	0.400291121	0.253388352	FP17
BF	0.0335	2.438136827	1.543365416	FP17
BF	0.0263	1.91411936	1.211657028	FP17
BF	0.0177	1.288209607	0.815449787	FP17
BF	0.03	2.183406114	1.382118283	FP17
BF	0.0252	1.834061135	1.160979358	FP17
BF	0.0124	0.902474527	0.571275557	FP17
BF	0.0077	0.560407569	0.354743693	FP17
BF	0.0241	1.754002911	1.110301687	FP17
BF	0.0072	0.524017467	0.331708388	FP17
BF-Comm	0.0452	3.289665211	2.226048821	FP17
BF-Comm	0.0205	1.491994178	1.009601788	FP17
BF-Comm	0.0133	0.96797671	0.655009941	FP17
BF-Comm	0.0176	1.280931587	0.866780072	FP17
BF-Comm	0.0228	1.659388646	1.122874184	FP17
BF-Comm	0.0043	0.312954876	0.211770131	FP17
BF-Comm	0.0155	1.128093159	0.76335745	FP17
BF-Comm	0.0323	2.350800582	1.590738428	FP17
BF-Comm	0.0148	1.077147016	0.728883242	FP17
BF-Comm	0.0199	1.448326055	0.980052468	FP17
BF-Comm	0.0345	2.510917031	1.699085937	FP17
BF-Comm	0.012	0.873362445	0.590986413	FP17
BF-Comm	0.0153	1.113537118	0.753507676	FP17
BF-Comm	0.0459	3.340611354	2.260523029	FP17
BF-Comm	0.0084	0.611353712	0.413690489	FP17
BF-Comm	0.0406	2.954876274	1.99950403	FP17
BF-Comm	0.0127	0.924308588	0.62546062	FP17
BF-Comm	0.0306	2.227074236	1.507015352	FP17
BF-Comm	0.0395	2.874818049	1.945330275	FP17
BF-Comm	0.0342	2.489082969	1.684311276	FP17
BF-Pseudo	0.0362	2.634643377	1.669292112	FP17
BF-Pseudo	0.0201	1.462882096	0.926872139	FP17
BF-Pseudo	0.0191	1.390101892	0.880759098	FP17
BF-Pseudo	0.0272	1.979621543	1.254274736	FP17
BF-Pseudo	0.0194	1.411935953	0.89459301	FP17
BF-Pseudo	0.0184	1.33915575	0.848479968	FP17
BF-Pseudo	0.028	2.037845706	1.291165169	FP17
BF-Pseudo	0.0308	2.241630277	1.420281686	FP17
BF-Pseudo	0.0181	1.317321689	0.834646056	FP17
BF-Pseudo	0.0116	0.844250364	0.534911284	FP17
BF-Pseudo	0.0077	0.560407569	0.355070422	FP17
BF-Pseudo	0.0158	1.14992722	0.72858606	FP17
BF-Pseudo	0.0101	0.735080058	0.465741722	FP17
BF-Pseudo	0.0219	1.593886463	1.009875615	FP17
BF-Pseudo	0.0092	0.669577875	0.424239984	FP17
BF-Pseudo	0.0302	2.197962154	1.392613861	FP17
BF-Pseudo	0.0179	1.302765648	0.825423447	FP17
BF-Pseudo	0.0157	1.142649199	0.723974756	FP17
BF-Pseudo	0.0155	1.128093159	0.714752147	FP17
BF-Comm-Pseudo	0.0101	0.735080058	0.498754323	FP17
BF-Comm-Pseudo	0.0054	0.3930131	0.266660727	FP17
BF-Comm-Pseudo	0.0033	0.240174672	0.162959333	FP17
BF-Comm-Pseudo	0.0019	0.138282387	0.093825071	FP17
BF-Comm-Pseudo	0.0044	0.320232897	0.217279111	FP17
BF-Comm-Pseudo	0.015	1.091703057	0.740724241	FP17
BF-Comm-Pseudo	0.011	0.800582242	0.543197777	FP17
BF-Comm-Pseudo	0.0029	0.211062591	0.143206687	FP17
BF-Comm-Pseudo	0.0179	1.302765648	0.883930928	FP17
BF-Comm-Pseudo	0.0143	1.040756914	0.70615711	FP17
BF-Comm-Pseudo	0.0078	0.56768559	0.385176606	FP17
BF-Comm-Pseudo	0.0187	1.360989811	0.923436221	FP17
BF-Comm-Pseudo	0.0218	1.586608443	1.076519231	FP17
BF-Comm-Pseudo	0.0132	0.96069869	0.651837332	FP17
