Condition	Freshweight	Normalized	Normalized_to_bacteria	Experiment
B-P	0.0307	1.859479104		FP15
B-P	0.021	1.27195639		FP15
B-P	0.0504	3.052695336		FP15
B-P	0.0138	0.835857056		FP15
B-P	0.0289	1.75045427		FP15
B-P	0.0616	3.731072078		FP15
B-P	0.0196	1.187159297		FP15
B-P	0.0168	1.017565112		FP15
B-P	0.0218	1.320411872		FP15
B-P	0.0363	2.198667474		FP15
B-P	0.0316	1.91399152		FP15
B-P	0.0333	2.016959419		FP15
B-P	0.0183	1.10841914		FP15
B-P	0.016	0.969109631		FP15
B-P	0.0268	1.623258631		FP15
B-P	0.0264	1.59903089		FP15
B-P	0.0153	0.926711084		FP15
B-P	0.0149	0.902483343		FP15
B-P	0.0147	0.890369473		FP15
B-P	0	0		FP15
B	0.0152	0.920654149		FP15
B	0.0327	1.980617807		FP15
B	0.0223	1.350696548		FP15
B	0.0295	1.786795881		FP15
B	0.0198	1.199273168		FP15
B	0.0175	1.059963658		FP15
B	0.0219	1.326468807		FP15
B	0.0121	0.732889158		FP15
B	0.0222	1.344639612		FP15
B	0.0251	1.520290733		FP15
B	0.0343	2.07752877		FP15
B	0.0271	1.641429437		FP15
B	0.0264	1.59903089		FP15
B	0.0333	2.016959419		FP15
B	0.0185	1.12053301		FP15
B	0.0142	0.860084797		FP15
B	0.0178	1.078134464		FP15
B	0.0323	1.956390067		FP15
B	0.016	0.969109631		FP15
B	0.0073	0.442156269		FP15
B-C	0.0103	0.623864325		FP15
B-C	0.0086	0.520896426		FP15
B-C	0.0249	1.508176863		FP15
B-C	0.0122	0.738946093		FP15
B-C	0.023	1.393095094		FP15
B-C	0.0241	1.459721381		FP15
B-C	0.0082	0.496668686		FP15
B-C	0.0349	2.113870382		FP15
B-C	0.0185	1.12053301		FP15
B-C	0.0079	0.47849788		FP15
B-C	0.027	1.635372502		FP15
B-C	0.0187	1.132646881		FP15
B-C	0.03	1.817080557		FP15
B-C	0.0235	1.42337977		FP15
B-C	0.0295	1.786795881		FP15
B-C	0.0078	0.472440945		FP15
B-C	0.0317	1.920048455		FP15
B-C	0.0172	1.041792853		FP15
B-C	0.018	1.090248334		FP15
B-C	0.0296	1.792852816		FP15
B-C	0.0216	1.308298001		FP15
B-C-P	0.0184	1.114476075		FP15
B-C-P	0.0292	1.768625076		FP15
B-C-P	0.0252	1.526347668		FP15
B-C-P	0.0191	1.156874621		FP15
B-C-P	0.0168	1.017565112		FP15
B-C-P	0.0237	1.43549364		FP15
B-C-P	0.0167	1.011508177		FP15
B-C-P	0.0332	2.010902483		FP15
B-C-P	0.0185	1.12053301		FP15
B-C-P	0.0165	0.999394306		FP15
B-C-P	0.019	1.150817686		FP15
B-C-P	0.0201	1.217443973		FP15
B-C-P	0.016	0.969109631		FP15
B-C-P	0.0211	1.278013325		FP15
B-C-P	0.0234	1.417322835		FP15
B-C-P	0.0079	0.47849788		FP15
B-C-P	0.0197	1.193216233		FP15
B-C-P	0.0123	0.745003028		FP15
B-C-P	0.0278	1.683827983		FP15
B-C-P	0.0107	0.648092065		FP15
B	0.0247	2.396894711		FP17
B	0.0277	2.688015526		FP17
B	0.0346	3.357593401		FP17
B	0.0379	3.677826298		FP17
B	0.0173	1.678796701		FP17
B	0.0116	1.125667152		FP17
B	0.0206	1.999029597		FP17
B	0.0353	3.425521591		FP17
B	0.0404	3.920426977		FP17
B	0.0206	1.999029597		FP17
B	0.0134	1.300339641		FP17
B	0.0284	2.755943717		FP17
B	0.0179	1.737020864		FP17
B	0.0096	0.931586608		FP17
B	0.0081	0.786026201		FP17
B	0.0054	0.524017467		FP17
B	0.022	2.134885978		FP17
B	0	0		FP17
B	0	0		FP17
B	0	0		FP17
B-P	0.0214	2.076661815		FP17
B-P	0.0233	2.261038331		FP17
B-P	0.0365	3.541969918		FP17
B-P	0.01	0.970402717		FP17
B-P	0.0205	1.98932557		FP17
B-P	0.012	1.164483261		FP17
B-P	0.0204	1.979621543		FP17
B-P	0.0258	2.50363901		FP17
B-P	0.0099	0.96069869		FP17
B-P	0.0258	2.50363901		FP17
B-P	0.0071	0.688985929		FP17
B-P	0.0117	1.135371179		FP17
B-P	0.0274	2.658903445		FP17
B-P	0.0249	2.416302766		FP17
B-P	0.0152	1.47501213		FP17
B-P	0.0206	1.999029597		FP17
B-P	0.0181	1.756428918		FP17
B-P	0.0207	2.008733624		FP17
B-P	0.0184	1.785541		FP17
B-P	0.0127	1.232411451		FP17
B-C-P	0.0324	3.144104803		FP17
B-C-P	0.007	0.679281902		FP17
B-C-P	0.0217	2.105773896		FP17
B-C-P	0.0131	1.271227559		FP17
B-C-P	0.0264	2.561863173		FP17
B-C-P	0.0315	3.056768559		FP17
B-C-P	0.0125	1.213003396		FP17
B-C-P	0.0295	2.862688016		FP17
B-C-P	0.0184	1.785541		FP17
B-C-P	0.0139	1.348859777		FP17
B-C-P	0.0073	0.708393984		FP17
B-C-P	0.0365	3.541969918		FP17
B-C-P	0.0134	1.300339641		FP17
B-C-P	0.0149	1.445900049		FP17
B-C-P	0.0217	2.105773896		FP17
B-C-P	0.0242	2.348374575		FP17
B-C-P	0.0136	1.319747695		FP17
B-C-P	0.0083	0.805434255		FP17
B-C-P	0.0068	0.659873848		FP17
B-C-P	0	0		FP17
B-C	0.0151	1.465308103		FP17
B-C	0.0112	1.086851043		FP17
B-C	0.0132	1.280931587		FP17
B-C	0.0102	0.989810771		FP17
B-C	0.0058	0.562833576		FP17
B-C	0.0377	3.658418244		FP17
B-C	0.0385	3.736050461		FP17
B-C	0.0194	1.882581271		FP17
B-C	0.012	1.164483261		FP17
B-C	0.0316	3.066472586		FP17
B-C	0.0204	1.979621543		FP17
B-C	0.0135	1.310043668		FP17
B-C	0.0261	2.532751092		FP17
B-C	0.0227	2.202814168		FP17
B-C	0.0208	2.018437652		FP17
B-C	0.0163	1.581756429		FP17
B-C	0.0136	1.319747695		FP17
B-C	0.0109	1.057738962		FP17
B-C	0.0091	0.883066473		FP17
B-C	0.0387	3.755458515		FP17
