Strain	Condition	Fresh_weight	Mean_MF	Relative_to_MF																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Rhizobacter_29	BF	0		0																							
Pseudomonas_9	BF	0.0126		1.34500427																							
Pseudomonas_9	BF	0.0138		1.473099915																							
Pseudomonas_9	BF	0.0101		1.078138343																							
Pseudomonas_9	BF	0.0194		2.07087959																							
Pseudomonas_9	BF	0.0165		1.761315115																							
Pseudomonas_9	BF	0.0109		1.16353544																							
Pseudomonas_9	BF	0.0099		1.056789069																							
Pseudomonas_9	BF	0.0116		1.238257899																							
Pseudomonas_9	BF	0.0168		1.793339026																							
Pseudomonas_9	BF	0.0068		0.72587532																							
Pseudomonas_9	BF	0.0167		1.782664389																							
Pseudomonas_9	BF	0.0062		0.661827498																							
Pseudomonas_9	BF	0.001		0.106746371																							
Pseudomonas_9	BF	0.0015		0.160119556																							
Pseudomonas_9	BF	0.0033		0.352263023																							
Pseudomonas_9	BF	0.003		0.320239112																							
Rhizobacter_1221	BF	0.0102		1.08881298																							
Rhizobacter_1221	BF	0.0152		1.622544833																							
Rhizobacter_1221	BF	0.0095		1.014090521																							
Rhizobacter_1221	BF	0.014		1.494449189																							
Rhizobacter_1221	BF	0.0044		0.469684031																							
Rhizobacter_1221	BF	0.004		0.426985482																							
Rhizobacter_1221	BF	0.0085		0.90734415																							
Rhizobacter_1221	BF	0.0079		0.843296328																							
Rhizobacter_1221	BF	0.0088		0.939368061																							
Rhizobacter_1221	BF	0.0041		0.43766012																							
Rhizobacter_1221	BF	0.0038		0.405636208																							
Rhizobacter_1221	BF	0.0009		0.096071734																							
Rhizobacter_1221	BF	0.0021		0.224167378																							
Rhizobacter_1221	BF	0.0039		0.416310845																							
Rhizobacter_1221	BF	0		0																							
Rhizobacter_1221	BF	0		0																							
Pelomonas_1217	BF	0.0067		0.715200683																							
Pelomonas_1217	BF	0.001		0.106746371																							
Pelomonas_1217	BF	0.0009		0.096071734																							
Pelomonas_1217	BF	0.0011		0.117421008																							
Pelomonas_1217	BF	0.0009		0.096071734																							
Pelomonas_1217	BF	0.0003		0.032023911																							
Pelomonas_1217	BF	0.0007		0.074722459																							
Pelomonas_1217	BF	0.0004		0.042698548																							
Pelomonas_1217	BF	0.0003		0.032023911																							
Pelomonas_1217	BF	0.0009		0.096071734																							
Pelomonas_1217	BF	0.0004		0.042698548																							
Pelomonas_1217	BF	0		0																							
Pelomonas_1217	BF	0		0																							
Pelomonas_1217	BF	0		0																							
Pelomonas_1217	BF	0		0																							
Pelomonas_1217	BF	0		0																							
Variovorax_434	BF	0.0034		0.36293766																							
Variovorax_434	BF	0.0027		0.288215201																							
Variovorax_434	BF	0.003		0.320239112																							
Variovorax_434	BF	0.0038		0.405636208																							
Variovorax_434	BF	0.0015		0.160119556																							
Variovorax_434	BF	0.0017		0.18146883																							
Variovorax_434	BF	0.0026		0.277540564																							
Variovorax_434	BF	0.001		0.106746371																							
Variovorax_434	BF	0.0023		0.245516652																							
Variovorax_434	BF	0.0014		0.149444919																							
Variovorax_434	BF	0.0008		0.085397096																							
Variovorax_434	BF	0.0013		0.138770282																							
Variovorax_434	BF	0.0002		0.021349274																							
Variovorax_434	BF	0		0																							
Variovorax_434	BF	0		0																							
Variovorax_434	BF	0		0																							
Pseudomonas_329	BF	0.0005		0.053373185																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_329	BF	0		0																							
Pseudomonas_401	BF	0.0111		1.184884714																							
Pseudomonas_401	BF	0.0029		0.309564475																							
Pseudomonas_401	BF	0.0059		0.629803587																							
Pseudomonas_401	BF	0.0044		0.469684031																							
Pseudomonas_401	BF	0.003		0.320239112																							
Pseudomonas_401	BF	0.007		0.747224594																							
Pseudomonas_401	BF	0.0017		0.18146883																							
Pseudomonas_401	BF	0.0088		0.939368061																							
Pseudomonas_401	BF	0.0016		0.170794193																							
Pseudomonas_401	BF	0.0027		0.288215201																							
Pseudomonas_401	BF	0.0003		0.032023911																							
Pseudomonas_401	BF	0.0006		0.064047822																							
Pseudomonas_401	BF	0.0017		0.18146883																							
Pseudomonas_401	BF	0.0012		0.128095645																							
