Strain	Condition	Fresh_weight	Mean_MF	Relative_to_MF
Rhizobacter_29	B	0.0102	0.009368	1.08881298
Rhizobacter_29	B	0.0055		0.587105038
Rhizobacter_29	B	0.0006		0.064047822
Rhizobacter_29	B	0.0009		0.096071734
Rhizobacter_29	B	0.0012		0.128095645
Rhizobacter_29	B	0.0023		0.245516652
Rhizobacter_29	B	0.0037		0.394961571
Rhizobacter_29	B	0.0012		0.128095645
Pseudomonas_9	B	0.0214		2.284372331
Pseudomonas_9	B	0.0188		2.006831768
Pseudomonas_9	B	0.0052		0.555081127
Pseudomonas_9	B	0.0181		1.932109308
Pseudomonas_9	B	0.0247		2.636635354
Pseudomonas_9	B	0.0128		1.366353544
Pseudomonas_9	B	0.0145		1.547822374
Pseudomonas_9	B	0.001		0.106746371
Rhizobacter_1221	B	0.0245		2.61528608
Rhizobacter_1221	B	0.0082		0.875320239
Rhizobacter_1221	B	0.0253		2.700683177
Rhizobacter_1221	B	0.0101		1.078138343
Rhizobacter_1221	B	0.037		3.949615713
Rhizobacter_1221	B	0.0082		0.875320239
Rhizobacter_1221	B	0.0043		0.459009394
Rhizobacter_1221	B	0		0
Pelomonas_1217	B	0.0172		1.836037575
Pelomonas_1217	B	0.0209		2.230999146
Pelomonas_1217	B	0.0123		1.312980359
Pelomonas_1217	B	0.0045		0.480358668
Pelomonas_1217	B	0.0088		0.939368061
Pelomonas_1217	B	0.0103		1.099487617
Pelomonas_1217	B	0.0029		0.309564475
Pelomonas_1217	B	0.002		0.213492741
Variovorax_434	B	0.0074		0.789923143
Variovorax_434	B	0.0199		2.124252775
Variovorax_434	B	0.0304		3.245089667
Variovorax_434	B	0.0039		0.416310845
Variovorax_434	B	0.0022		0.234842015
Variovorax_434	B	0.0016		0.170794193
Variovorax_434	B	0.0005		0.053373185
Pseudomonas_329	B	0.0189		2.017506405
Pseudomonas_329	B	0.0259		2.764730999
Pseudomonas_329	B	0.0214		2.284372331
Pseudomonas_329	B	0.0074		0.789923143
Pseudomonas_329	B	0.0091		0.971391973
Pseudomonas_329	B	0.009		0.960717336
Pseudomonas_329	B	0.0048		0.512382579
Pseudomonas_329	B	0.0045		0.480358668
Pseudomonas_329	B	0.0016		0.170794193
Pseudomonas_329	B	0.0018		0.192143467
Pseudomonas_401	B	0.0281		2.999573015
Pseudomonas_401	B	0.0218		2.32707088
Pseudomonas_401	B	0.0246		2.625960717
Pseudomonas_401	B	0.0238		2.540563621
Pseudomonas_401	B	0.0186		1.985482494
Pseudomonas_401	B	0.0084		0.896669513
Pseudomonas_71	B	0.0269		2.87147737
Pseudomonas_71	B	0.0077		0.821947054
Pseudomonas_71	B	0.0107		1.142186166
Pseudomonas_71	B	0.027		2.882152007
Pseudomonas_71	B	0.0076		0.811272417
Pseudomonas_71	B	0.0011		0.117421008
Pseudomonas_71	B	0.012		1.280956447
Pseudomonas_71	B	0.0041		0.43766012
Pseudomonas_71	B	0.0026		0.277540564
Pseudomonas_71	B	0.0055		0.587105038
Rhizobacter_404	B	0.0106		1.131511529
Rhizobacter_404	B	0.0192		2.049530316
Rhizobacter_404	B	0.0111		1.184884714
Rhizobacter_404	B	0.0141		1.505123826
Rhizobacter_404	B	0.0029		0.309564475
Rhizobacter_404	B	0.0122		1.302305722
Rhizobacter_404	B	0.0162		1.729291204
Rhizobacter_404	B	0.012		1.280956447
Rhizobacter_16D2	B	0.0246		2.625960717
Rhizobacter_16D2	B	0.0067		0.715200683
Rhizobacter_16D2	B	0.0035		0.373612297
Rhizobacter_16D2	B	0.0154		1.643894108
Rhizobacter_16D2	B	0.0125		1.334329633
Rhizobacter_16D2	B	0.027		2.882152007
Rhizobacter_16D2	B	0.0091		0.971391973
Rhizobacter_16D2	B	0		0
Variovorax_318D1	B	0.012		1.280956447
Variovorax_318D1	B	0.0086		0.918018787
Variovorax_318D1	B	0.0113		1.206233988
Variovorax_318D1	B	0.0149		1.590520922
Variovorax_318D1	B	0.0071		0.757899231
Variovorax_318D1	B	0.0025		0.266865927
Variovorax_318D1	B	0.0007		0.074722459
Variovorax_318D1	B	0.0091		0.971391973
Variovorax_318D1	B	0		0
Acidovorax_402	B	0.0255		2.722032451
Acidovorax_402	B	0.0024		0.256191289
Acidovorax_402	B	0		0
